" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"16","18993","-1104.0802102384","0.0070680483","0.1488727769","0.3592602745","482.2281024543","297.3473412676","184.8807611867","172.1533350065","234.7589753749","-62.6056403684","-68.6113655096","6.0057251412","150.8999159782","104.4887842281","-20.6297248314","-181.1349492488","160.5052244174","5.1324788428","12.6121810150","133.1517848175","0.0034713030","0.0000000000"
"17","21705","-1104.1099479942","0.0068609549","0.1557337318","0.3769887926","482.2458309723","298.1009579219","184.1448730504","172.9069516608","237.2588352511","-64.3518835904","-70.3649696236","6.0130860332","150.7279264777","108.6248974847","-22.0939887113","-179.3557573502","157.2617686389","4.9219029769","12.4469113316","133.3585523679","0.0005598013","0.0000000000"
"18","22146","-1104.1367707971","0.0066793710","0.1624131028","0.3929795266","482.2618217063","297.3063606678","184.9554610386","172.1123544067","237.1962386667","-65.0838842600","-71.1379743084","6.0540900484","150.1351876766","109.9161180391","-22.8550670490","-182.4599158933","159.6048488443","5.0127873744","12.5242808598","132.5874783197","0.0106411227","0.0000000000"
"19","16647","-1104.1888968879","0.0063401203","0.1687532230","0.4240551177","482.2928972975","297.2677522190","185.0251450785","172.0737459579","237.7983591776","-65.7246132197","-71.7319506655","6.0073374458","150.2401190576","108.4753086347","-20.9170685146","-180.5740023454","159.6569338308","5.0587006808","12.1052741291","133.0759065890","0.0002376587","0.0000000000"
"20","9798","-1104.2049693928","0.0062390332","0.1749922562","0.4336369333","482.3024791131","296.7291840793","185.5732950337","171.5351778182","234.6719715862","-63.1367937680","-69.1258997201","5.9891059521","150.8871641385","104.6586851142","-20.8738776665","-180.7674802630","159.8936025965","5.0745925062","12.2118647106","133.5995773049","0.0011296168","0.0000000000"
"21","16842","-1104.2242860533","0.0061196724","0.1811119286","0.4451527911","482.3139949708","298.3360368099","183.9779581609","173.1420305488","237.1644143648","-64.0223838160","-70.0536504705","6.0312666545","150.8199714091","108.4816889213","-22.1372459655","-180.5245025649","158.3872565995","4.9852760808","12.8878254242","132.9425351876","0.0043347164","0.0000000000"
"22","14695","-1104.2462331990","0.0059868262","0.1870987549","0.4582368439","482.3270790236","297.1171034504","185.2099755732","171.9230971894","237.3563722624","-65.4332750731","-71.4611300438","6.0278549707","150.0194945263","107.9911320295","-20.6542542934","-180.9280003137","160.2737460204","5.0867300843","12.1730911145","132.7593932040","0.0002801235","0.0000000000"
"23","24523","-1104.2612108452","0.0058978258","0.1929965807","0.4671659464","482.3360081261","298.1065046667","184.2295034594","172.9124984056","236.9803961995","-64.0678977938","-70.1005546414","6.0326568476","150.6459836788","108.1765047733","-21.8420922526","-180.8803457166","159.0382534640","5.0207262301","13.0441526674","132.5765124186","0.0045923626","0.0000000000"
"24","9417","-1104.3034376405","0.0056539645","0.1986505452","0.4923399544","482.3611821341","297.6675610344","184.6936210998","172.4735547733","237.2479345166","-64.7743797433","-70.8095237038","6.0351439606","150.2541145035","107.3396233401","-20.3458033270","-181.2924764170","160.9466730900","5.1567629918","12.7195771051","132.3746028159","0.0031715907","0.0000000000"
"25","16680","-1104.3044484326","0.0056482524","0.2042987976","0.4929425502","482.3617847299","298.0044075231","184.3573772068","172.8104012620","240.0948046900","-67.2844034280","-73.3264129052","6.0420094771","149.6083268279","114.4778801865","-23.9914023243","-181.4895299748","157.4981276506","4.8915906800","12.8290181009","131.8812254236","0.0064926234","0.0000000000"
"26","19241","-1104.3207489183","0.0055569295","0.2098557271","0.5026602793","482.3715024590","298.0247132501","184.3467892089","172.8307069890","236.8235169301","-63.9928099411","-70.0105702069","6.0177602658","150.5208542181","108.0142095537","-21.7115468417","-179.6370738032","157.9255269615","4.9596368358","12.5690598199","132.9914495820","0.0007079804","0.0000000000"
"27","11750","-1104.3300418108","0.0055055287","0.2153612558","0.5082003480","482.3770425278","297.7373692269","184.6396733008","172.5433629658","237.9638781532","-65.4205151873","-71.4559296822","6.0354144949","150.1173433210","108.2101061360","-20.3635713038","-181.1317976880","160.7682263842","5.1470740589","12.6554578700","132.3120675739","0.0027438183","0.0000000000"
"28","5048","-1104.3461064086","0.0054177913","0.2207790471","0.5177774498","482.3866196295","296.6495740244","185.7370456050","171.4555677634","234.1044679946","-62.6489002313","-68.6512888706","6.0023886393","150.6559619566","104.0614841124","-20.6129780744","-181.0976059161","160.4846278418","5.0995436641","12.2830103168","133.2720896203","0.0013183554","0.0000000000"
"29","24200","-1104.3611171071","0.0053370738","0.2261161209","0.5267262568","482.3955684365","297.9959806907","184.3995877458","172.8019744296","238.3586355828","-65.5566611532","-71.5596081142","6.0029469610","150.1942593334","108.6784547446","-20.5140784953","-180.5457841365","160.0317056412","5.1160506540","12.3952874083","132.6814725958","0.0014486753","0.0000000000"
"30","21539","-1104.3661135836","0.0053104737","0.2314265946","0.5297049659","482.3985471456","297.8571869391","184.5413602065","172.6631806780","237.4593823263","-64.7962016483","-70.8148418790","6.0186402307","150.4565505682","107.5860603736","-20.5832286155","-180.9372404896","160.3540118741","5.1306579687","12.6410152496","132.6819267872","0.0029505627","0.0000000000"
"31","12424","-1104.3769804096","0.0052530781","0.2366796727","0.5361833539","482.4050255336","296.6868651108","185.7181604229","171.4928588497","234.2164705327","-62.7236116830","-68.7330971224","6.0094854394","150.7819931330","103.9633622755","-20.5288848758","-181.1723790250","160.6434941492","5.1071697705","12.1975632624","133.4765132852","0.0007468150","0.0000000000"
"32","19327","-1104.4021385384","0.0051225691","0.2418022417","0.5511816726","482.4200238524","297.8444375831","184.5755862693","172.6504313220","235.2541997958","-62.6037684739","-68.6119153645","6.0081468906","151.5938425469","104.6085442991","-20.9481870501","-180.7060913935","159.7579043433","5.1046904816","12.5851868731","133.9002519076","0.0037132845","0.0000000000"
