" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","295.1924324625"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"233","9394","-1105.7687709814","0.0013060713","0.7605094456","1.3659159137","483.2347580934","297.7470921187","185.4876659747","172.5530858577","237.3428016534","-64.7897157958","-70.8228614951","6.0331456993","149.9714200706","108.1916447696","-20.8202631868","-181.1130270174","160.2927638306","5.0968461325","12.1617260324","132.7125032320","0.0003446737","0.0000000000"
"234","2962","-1105.7761750696","0.0012964368","0.7618058823","1.3703299493","483.2391721290","298.4128745210","184.8262976080","173.2188682599","240.1336890993","-66.9148208394","-72.9506328536","6.0358120141","150.1210956844","109.8255410941","-19.8129476791","-180.5434285453","160.7304808662","5.1632689469","12.3400987299","132.6175347848","0.0001932228","0.0000000000"
"235","12220","-1105.7766373781","0.0012958376","0.7631017199","1.3706055600","483.2394477397","297.8557835614","185.3836641783","172.6617773003","236.9303689309","-64.2685916305","-70.2659795942","5.9973879636","150.9069991272","106.7862511172","-20.7628813135","-180.4254919949","159.6626106813","5.0885357756","12.4004308769","133.4168489741","0.0011835006","0.0000000000"
"236","11633","-1105.7773386845","0.0012949291","0.7643966490","1.3710236521","483.2398658319","298.5748785999","184.6649872320","173.3808723388","236.0165054658","-62.6356331271","-68.6444517181","6.0088185910","151.2830524756","105.7325676108","-20.9991146205","-182.9482346905","161.9491200700","5.1567956887","13.2578890843","132.8654998214","0.0028678813","0.0000000000"
"237","20505","-1105.7777562921","0.0012943884","0.7656910374","1.3712726139","483.2401147936","297.6317807204","185.6083340733","172.4377744593","236.5802192753","-64.1424448161","-70.1561346746","6.0136898586","150.2929941274","106.8406226152","-20.5533974673","-181.0524631999","160.4990657326","5.1210943632","12.3387152928","132.8324487312","0.0007357401","0.0000000000"
"238","24232","-1105.7856619305","0.0012841958","0.7669752332","1.3759856546","483.2448278343","298.3990520363","184.8457757980","173.2050457752","238.6847490910","-65.4797033158","-71.4334955465","5.9537922307","150.7451199584","108.3901333073","-20.4505041746","-181.0098647463","160.5593605717","5.1516129482","12.6286647639","132.9620100508","0.0028321955","0.0000000000"
"239","8160","-1105.7893559063","0.0012794608","0.7682546940","1.3781878623","483.2470300421","297.6559794018","185.5910506402","172.4619731408","240.1199757973","-67.6580026566","-73.6935202476","6.0355175910","149.7941151433","110.6782284793","-20.3523678252","-181.3020555514","160.9496877261","5.1409578277","12.5531249842","132.0989968581","0.0010354732","0.0000000000"
"240","13061","-1105.7922452889","0.0012757693","0.7695304632","1.3799104023","483.2487525820","297.7738595239","185.4748930581","172.5798532628","240.4946756476","-67.9148223848","-73.9764755185","6.0616531337","149.6535248661","111.1998352795","-20.3586844980","-181.1644550897","160.8057705917","5.1339410033","12.5014077906","132.0173982843","0.0007777879","0.0000000000"
"241","17007","-1105.7933320420","0.0012743836","0.7708048468","1.3805582831","483.2494004628","298.6473510623","184.6020494005","173.4533448012","240.6442011998","-67.1908563986","-73.2329285450","6.0420721464","149.8798931786","111.1075778694","-20.3432698482","-181.1681388717","160.8248690234","5.1759773389","12.9170505831","131.7834945967","0.0033706600","0.0000000000"
"242","24531","-1105.7960692234","0.0012709001","0.7720757469","1.3821900865","483.2510322662","298.7262709397","184.5247613265","173.5322646786","241.6794115609","-68.1471468823","-74.2041796410","6.0570327587","150.2252346152","111.9506469713","-20.4964700256","-180.6341804395","160.1377104139","5.1441840564","12.6713876385","132.4073435819","0.0023193384","0.0000000000"
"243","24155","-1105.7961860732","0.0012707516","0.7733464985","1.3822597479","483.2511019276","298.0515885873","185.1995133403","172.8575823262","236.8720254147","-64.0144430885","-69.9857107258","5.9712676373","150.7271346218","106.8136192405","-20.6687284476","-181.2682015447","160.5994730971","5.1016072156","12.6088767225","133.0161573145","0.0004933692","0.0000000000"
"244","19598","-1105.8022688881","0.0012630453","0.7746095439","1.3858860906","483.2547282703","297.8489008958","185.4058273745","172.6548946347","239.9950878992","-67.3401932645","-73.3734366227","6.0332433582","149.9816066229","110.6565572912","-20.6430760149","-180.9753043611","160.3322283462","5.1099388529","12.4845603424","132.3860523057","0.0010551219","0.0000000000"
"245","9371","-1105.8040402036","0.0012608101","0.7758703539","1.3869420814","483.2557842612","298.0328211435","185.2229631177","172.8388148824","237.5651580632","-64.7263431808","-70.7199659074","5.9936227266","151.1451748592","107.4518225255","-21.0318393215","-180.0969957318","159.0651564103","5.0641497697","12.3346523328","133.7453632789","0.0010094778","0.0000000000"
"246","2592","-1105.8041725867","0.0012606432","0.7771309971","1.3870210032","483.2558631829","297.7589009631","185.4969622199","172.5648947020","237.7277609164","-65.1603884460","-71.1779552056","6.0175667595","150.6032632472","106.8825142165","-19.7580165472","-180.4536032373","160.6955866901","5.1504256929","12.2494871303","133.2031222525","0.0002281715","0.0000000000"
"247","5573","-1105.8059504676","0.0012584039","0.7783894010","1.3880809081","483.2569230878","299.8192531325","183.4376699554","174.6252468714","238.6032076387","-63.9779607673","-70.0239978395","6.0460370722","150.7881007790","108.7982314595","-20.9831245998","-179.7874388045","158.8043142047","5.0565447480","12.8748698853","132.7931240865","0.0635620593","0.0000000000"
"248","19566","-1105.8061141028","0.0012581980","0.7796475990","1.3881784612","483.2570206409","299.9137132235","183.3433074174","174.7197069625","244.7496191519","-70.0299121894","-76.0469922503","6.0170800608","150.3822709445","118.2672736192","-23.8999254118","-179.9617379732","156.0618125614","4.8126191522","12.0016727282","133.5530122141","0.0149668501","0.0000000000"
"249","12127","-1105.8095389779","0.0012538962","0.7809014951","1.3902202414","483.2590624211","297.7167083286","185.5423540924","172.5227020675","238.3380644925","-65.8153624250","-71.8104762648","5.9951138398","150.6866038201","108.7352006390","-21.0837399666","-181.1520102041","160.0682702375","5.0946487178","12.2968656267","133.2943098820","0.0007795937","0.0000000000"
"250","9242","-1105.8302711571","0.0012281678","0.7821296629","1.4025799774","483.2714221571","297.6736246711","185.5977974860","172.4796184100","239.8625189950","-67.3829005849","-73.4339112992","6.0510107142","149.7640145042","110.4436120366","-20.3451075458","-181.3100984233","160.9649908775","5.1419911696","12.5521548341","132.0688090388","0.0010594616","0.0000000000"
"251","14059","-1105.8355258042","0.0012217311","0.7833513941","1.4057125980","483.2745547777","299.4222307005","183.8523240773","174.2282244394","241.4541738812","-67.2259494419","-73.2200578389","5.9941083970","150.8742486193","112.6701909601","-22.0902656982","-178.8339107077","156.7436450095","4.9447672573","12.6024360511","133.3267810597","0.0002642512","0.0000000000"
"252","14053","-1105.8398312380","0.0012164824","0.7845678764","1.4082793337","483.2771215134","298.3822224440","184.8948990695","173.1882161829","237.1697373616","-63.9815211787","-69.9876983054","6.0061771267","151.2950324197","106.8963259319","-21.0216209900","-180.1033237147","159.0817027247","5.0390022498","12.1466819487","134.1086865688","0.0006616525","0.0000000000"
"253","16804","-1105.8422306896","0.0012135670","0.7857814434","1.4097097955","483.2785519752","299.0605950352","184.2179569400","173.8665887741","241.4249594564","-67.5583706823","-73.5552826980","5.9969120157","150.8061482656","111.3691630706","-20.7503518799","-181.0919502997","160.3415984199","5.1755633587","12.3176762242","133.3098999398","0.0030087428","0.0000000000"
"254","9596","-1105.8452968236","0.0012098517","0.7869912951","1.4115377079","483.2803798876","299.1392903821","184.1410895054","173.9452841211","243.3120938362","-69.3668097151","-75.3634982763","5.9966885612","149.3147173297","118.4730093803","-24.4756328737","-181.3374528895","156.8618200158","4.8840227973","12.9435050981","131.4809966174","0.0061928169","0.0000000000"
"255","18018","-1105.8478188178","0.0012068043","0.7881980994","1.4130412248","483.2818834045","298.7321890434","184.5496943611","173.5381827823","239.2440253914","-65.7087176271","-71.7572164226","6.0484987955","149.9156176246","110.7328294544","-21.4044216876","-179.7581357670","158.3537140794","5.0043423504","12.8649534807","132.0451224427","0.0011993508","0.0000000000"
"256","11994","-1105.8490956957","0.0012052644","0.7894033638","1.4138024508","483.2826446305","298.0631232896","185.2195213409","172.8691170285","236.8674915968","-63.9983745683","-70.0007913545","6.0024167862","152.1440382643","105.8465075118","-21.1230541793","-179.7044814607","158.5814272814","5.0521045483","12.1917613958","134.8995127525","0.0006595678","0.0000000000"
"257","24144","-1105.8499290131","0.0012042604","0.7906076242","1.4142992429","483.2831414226","299.5779201631","183.7052212595","174.3839139020","237.9336338654","-63.5497199634","-69.5699729426","6.0202529793","150.6682028004","108.9208808165","-21.6554497515","-179.6125570234","157.9571072719","5.0268570203","12.3840238273","133.2293110000","0.0280109529","0.0000000000"
"258","8348","-1105.8548001507","0.0011984086","0.7918060328","1.4172032297","483.2860454094","297.7391968719","185.5468485376","172.5451906108","237.0347017759","-64.4895111651","-70.5093902891","6.0198791240","150.7133760522","106.8370349777","-20.5157092540","-180.8787126653","160.3630034113","5.1154073211","12.4208206292","133.1759986011","0.0011495007","0.0000000000"
"259","4974","-1105.8616934154","0.0011901760","0.7929962088","1.4213127317","483.2901549115","299.8847348108","183.4054201007","174.6907285497","238.3264858060","-63.6357572563","-69.6719217584","6.0361645020","150.6017372510","111.3340617345","-23.6093131796","-180.7822722007","157.1729590211","4.8843810532","12.3932257372","133.3106584641","0.0134719965","0.0000000000"
"260","9161","-1105.8730616687","0.0011767224","0.7941729312","1.4280900516","483.2969322313","298.6085341234","184.6883981079","173.4145278623","241.9485634379","-68.5340355756","-74.5921586896","6.0581231140","149.9250967947","112.3127842274","-20.2893175841","-181.0647673171","160.7754497330","5.1767372883","12.9069473152","131.8380440985","0.0033680926","0.0000000000"
"261","19154","-1105.8813253074","0.0011670385","0.7953399697","1.4330165184","483.3018586982","298.6769111957","184.6249475025","173.4829049346","236.5928959140","-63.1099909794","-69.1407462859","6.0307553065","150.7727214862","106.4668437194","-20.6466692916","-180.9739055193","160.3272362277","5.1114614417","12.5739884275","133.0837878184","0.0034837986","0.0000000000"
"262","6791","-1105.8830857636","0.0011649858","0.7965049554","1.4340660354","483.3029082152","298.2842893681","185.0186188471","173.0902831070","235.4285224223","-62.3382393153","-68.3640781397","6.0258388243","152.2591504329","102.1163605273","-18.9469885379","-179.9780009250","161.0310123871","5.2429703789","12.5926327555","134.4127995220","0.0107477765","0.0000000000"
"263","4663","-1105.8869310930","0.0011605146","0.7976654700","1.4363584744","483.3052006541","300.5633127211","182.7418879330","175.3693064600","240.3471246212","-64.9778181611","-70.9862376152","6.0084194541","150.3401343647","111.8621530387","-21.8551627822","-178.9408283259","157.0856655436","5.0367337566","13.3305786067","131.9424607174","0.0303612840","0.0000000000"
"264","21770","-1105.8993167461","0.0011462295","0.7988116995","1.4437423294","483.3125845091","298.6439059776","184.6686785315","173.4498997165","236.9251098030","-63.4752100865","-69.4690447769","5.9938346904","150.8536582768","106.4009056795","-20.3294541534","-181.5590801270","161.2296259736","5.1707259880","13.0952485266","132.5844242674","0.0032594948","0.0000000000"
"265","11934","-1105.9006427725","0.0011447106","0.7999564101","1.4445328558","483.3133750356","297.8591159685","185.4542590671","172.6651097074","239.9863409948","-67.3212312874","-73.3747136196","6.0534823322","149.4525036978","110.9287071543","-20.3948698574","-181.1262322267","160.7313623693","5.1326087023","12.5058093736","131.8132012728","0.0008843490","0.0000000000"
"266","18956","-1105.9026592760","0.0011424046","0.8010988147","1.4457350185","483.3145771982","299.4766788602","183.8378983380","174.2826725991","241.4149441897","-67.1322715906","-73.1452162460","6.0129446554","150.8482959566","112.8314905776","-22.2648423445","-180.3546845741","158.0898422296","4.9895998721","13.0352005877","132.8194262101","0.0040692868","0.0000000000"
"267","14025","-1105.9061824555","0.0011383868","0.8022372015","1.4478354040","483.3166775837","299.7185039055","183.5981736782","174.5244976444","235.7036920976","-61.1813576610","-67.2436635676","6.0623059066","149.9213713086","107.9639785921","-22.1816578031","-180.9668429903","158.7851851872","4.9814834537","13.1154988137","131.7874966462","0.0368923949","0.0000000000"
"268","11694","-1105.9088029138","0.0011354076","0.8033726091","1.4493976215","483.3182398012","298.8318816736","184.4863581276","173.6378754125","239.2482621779","-65.6103867654","-71.6110135860","6.0006268206","150.1787195358","110.8327481722","-21.7632055300","-179.6788635948","157.9156580648","4.9854062388","12.8356100070","132.3565047951","0.0011984949","0.0000000000"
"269","14732","-1105.9213740325","0.0011212236","0.8044938327","1.4568920439","483.3257342236","298.7431382274","184.5825959962","173.5491319663","239.6162223056","-66.0670903393","-72.1138867925","6.0467964532","151.0331153180","108.9362781133","-20.3531711256","-180.3704455801","160.0172744545","5.1612505314","12.5853472345","133.2829888572","0.0035286949","0.0000000000"
"270","14027","-1105.9214991833","0.0011210833","0.8056149160","1.4569666540","483.3258088337","299.5066517016","183.8191571321","174.3126454405","244.0974247534","-69.7847793129","-75.8268348853","6.0420555724","149.9423185117","116.2416307455","-22.0865245037","-179.1719951254","157.0854706216","4.9437609635","12.6569453698","132.3412695469","0.0003426314","0.0000000000"
"271","19532","-1105.9234996371","0.0011188429","0.8067337589","1.4581592485","483.3270014282","299.1011786054","184.2258228227","173.9071723444","239.4379297981","-65.5307574538","-71.5389455057","6.0081880520","151.4678404782","110.0058639486","-22.0357746287","-178.7557340105","156.7199593818","4.9385695923","12.6178296207","133.9107821161","0.0006591490","0.0000000000"
"272","16545","-1105.9251926251","0.0011169503","0.8078507092","1.4591685434","483.3280107231","298.8874838865","184.4405268366","173.6934776254","240.8291147063","-67.1327030258","-73.1697668719","6.0370638461","150.6294441840","110.6861613898","-20.4864908675","-181.5748039751","161.0883131076","5.2124648963","12.5222023365","132.8912010920","0.0035758592","0.0000000000"
"273","21486","-1105.9430921020","0.0010971353","0.8089478445","1.4698395302","483.3386817099","298.5443344903","184.7943472196","173.3503282292","238.4989685736","-65.1486403444","-71.1583632626","6.0097229182","151.1091437120","107.4610849717","-20.0712601101","-179.6725810900","159.6013209799","5.1291734239","12.1321682209","133.8475838203","0.0002182468","0.0000000000"
"274","12206","-1105.9652518144","0.0010730905","0.8100209350","1.4830503072","483.3518924869","297.7982240413","185.5536684456","172.6042177802","240.3203061642","-67.7160883840","-73.7589895272","6.0429011432","149.5668593151","111.1191582438","-20.3657113947","-181.2477872070","160.8820758123","5.1408679392","12.5645041045","131.8603922006","0.0010950708","0.0000000000"
"275","15977","-1105.9689604862","0.0010691181","0.8110900531","1.4852612762","483.3541034559","298.6019963626","184.7521070933","173.4079901015","236.9075360216","-63.4995459201","-69.5289444264","6.0293985063","151.3495784899","106.7458186869","-21.1878611552","-180.6988108693","159.5109497141","5.1009433452","12.6828230735","133.5630454907","0.0027665805","0.0000000000"
"276","23895","-1105.9753907252","0.0010622655","0.8121523186","1.4890947399","483.3579369196","298.2169019508","185.1410349688","173.0228956897","238.0426334543","-65.0197377645","-71.0266597075","6.0069219429","150.7668006311","108.4382113926","-21.1623785695","-180.1012488601","158.9388702907","5.0522173529","12.1212099804","133.5930326683","0.0003406295","0.0000000000"
"277","19706","-1105.9799161644","0.0010574692","0.8132097878","1.4917926345","483.3606348142","299.6216841699","183.7389506444","174.4276779088","240.0203449191","-65.5926670103","-71.6139572327","6.0212902224","149.4621979148","114.4838226064","-23.9256756021","-180.5511930477","156.6255174456","4.8756579413","12.4989646912","132.0769682805","0.0106070018","0.0000000000"
"278","2963","-1105.9804418765","0.0010569134","0.8142667011","1.4921060440","483.3609482238","298.4751003459","184.8858478778","173.2810940848","238.7815697800","-65.4966095841","-71.5610275213","6.0644179371","150.8187976630","107.9379857052","-19.9752135883","-180.6403985562","160.6651849679","5.1710279492","12.5451487591","133.1011958132","0.0014251415","0.0000000000"
"279","14738","-1105.9858584987","0.0010512039","0.8153179051","1.4953352280","483.3641774077","298.5234448918","184.8407325159","173.3294386307","235.2371526250","-61.9077139942","-67.9008525767","5.9931385825","152.6233138948","103.3608911883","-20.7470524581","-182.3416795797","161.5946271216","5.2071959547","12.7333188343","134.6790348622","0.0037642436","0.0000000000"
"280","19320","-1105.9861868981","0.0010508588","0.8163687639","1.4955310072","483.3643731869","298.4251600467","184.9392131402","173.2311537856","239.1462772337","-65.9107730418","-71.9276744917","6.0169014499","150.7289641176","109.0023440653","-20.5850309491","-179.9225127087","159.3374817596","5.1069528568","12.3965298427","133.2239355920","0.0015458260","0.0000000000"
"281","19395","-1105.9920323036","0.0010447340","0.8174134979","1.4990158155","483.3678579952","299.8284562656","183.5394017296","174.6344500045","238.8933188037","-64.2588687992","-70.2659520252","6.0070832260","150.8899318777","110.0024586728","-21.9990717468","-179.3107623090","157.3116905622","5.0000023656","12.2817139786","133.5801710957","0.0280444378","0.0000000000"
"282","19415","-1105.9964903119","0.0010400869","0.8184535848","1.5016735103","483.3705156900","299.3094911551","184.0610245349","174.1154848940","242.5500343908","-68.4345494968","-74.4431768664","6.0086273696","150.6108908500","112.8468496005","-20.9077060597","-179.7205851267","158.8128790670","5.0963508477","12.4763018168","133.0368620212","0.0013761643","0.0000000000"
"283","4946","-1105.9985381249","0.0010379592","0.8194915441","1.5028943385","483.3717365182","297.9893994081","185.3823371101","172.7953931470","235.9424458247","-63.1470526777","-69.1835257599","6.0364730822","150.5620256408","106.0431491871","-20.6627290033","-181.0259914313","160.3632624280","5.0818781290","12.2706511298","133.2082421683","0.0012542137","0.0000000000"
"284","6777","-1106.0027007995","0.0010336475","0.8205251916","1.5053759666","483.3742181463","298.0687420907","185.3054760556","172.8747358296","237.6557004003","-64.7809645706","-70.8068740212","6.0259094506","150.7831513936","106.8920172896","-20.0194682829","-180.0744490699","160.0549807869","5.1183438881","12.1787079368","133.4858953948","0.0002041740","0.0000000000"
"285","14117","-1106.0161014628","0.0010198884","0.8215450799","1.5133649320","483.3822071117","298.0596020772","185.3226050344","172.8655958162","237.5242378834","-64.6586420673","-70.6887451799","6.0301031126","150.5454964570","107.8575769465","-20.8788355201","-180.4488727192","159.5700371991","5.0797190901","12.1818112096","133.2835824209","0.0003837365","0.0000000000"
"286","2117","-1106.0191155766","0.0010168189","0.8225618988","1.5151618319","483.3840040116","298.5444605042","184.8395435074","173.3504542432","240.9666961988","-67.6162419556","-73.6750115821","6.0587696264","150.1092154215","110.7609284465","-19.9034476692","-180.6995082763","160.7960606070","5.1619375214","12.3977310609","132.5493243800","0.0002224592","0.0000000000"
"287","17388","-1106.0201763332","0.0010157409","0.8235776397","1.5157942146","483.3846363943","298.3434441474","185.0411922469","173.1494378863","236.3136714180","-63.1642335317","-69.1939327544","6.0296992227","152.0383227996","103.2511746195","-18.9758260011","-179.9355958096","160.9597698085","5.2462817437","12.4909979215","134.2887886733","0.0122544611","0.0000000000"
"288","21574","-1106.0233960000","0.0010124758","0.8245901155","1.5177136574","483.3865558371","298.0577340292","185.3288218079","172.8637277681","239.5272497588","-66.6635219907","-72.6783552644","6.0148332736","150.3764766104","110.0591458952","-20.9083727468","-180.6136971124","159.7053243656","5.0806891611","12.1204118444","133.1746128953","0.0007627096","0.0000000000"
"289","25414","-1106.0310101997","0.0010047959","0.8255949114","1.5222529534","483.3910951332","298.8535345890","184.5375605441","173.6595283279","239.9604812493","-66.3009529214","-72.3397264854","6.0387735641","149.9161605915","111.4247665265","-21.3804458688","-179.7333091980","158.3528633292","5.0078034754","12.8831229751","132.0240217477","0.0012123933","0.0000000000"
"290","13089","-1106.0336978205","0.0010020990","0.8265970104","1.5238552106","483.3926973904","297.8779232195","185.5147741708","172.6839169585","236.4265577107","-63.7426407522","-69.7510608817","6.0084201295","150.6198989938","106.1195094979","-20.3128507811","-181.5102396810","161.1973888999","5.1356801606","12.7677007910","132.7154911299","0.0010269124","0.0000000000"
"291","4931","-1106.0409376781","0.0009948701","0.8275918806","1.5281713382","483.3970135179","299.7441983305","183.6528151874","174.5501920694","235.2195707297","-60.6693786604","-66.7105150169","6.0411363566","150.9300124832","105.5008525583","-21.2112943118","-181.1421650883","159.9308707765","5.0695922536","12.6876535479","133.1398291623","0.0329375194","0.0000000000"
"292","22100","-1106.0411130996","0.0009946956","0.8285865762","1.5282759178","483.3971180975","299.0067589386","184.3903591589","173.8127526775","239.1864142576","-65.3687206339","-71.3864593878","6.0177387539","150.5590967938","109.6554191578","-21.0281016941","-181.4323213856","160.4042196915","5.1347999788","12.9780217585","132.4431347521","0.0031403044","0.0000000000"
"293","21492","-1106.0486704593","0.0009872067","0.8295737829","1.5327813279","483.4016235076","299.0293972280","184.3722262796","173.8353909669","237.1604363507","-63.3250453838","-69.3436926466","6.0186472628","151.5579440412","106.2204892346","-20.6179969251","-181.1297157612","160.5117188361","5.1450422890","13.0715022245","133.3380356195","0.0033639082","0.0000000000"
"294","25103","-1106.0596842253","0.0009763935","0.8305501764","1.5393473160","483.4081894957","298.2933819120","185.1148075837","173.0993756509","240.6902997494","-67.5914596936","-73.6269636917","6.0355039981","150.5649261112","110.9016743428","-20.7763007046","-181.2062761385","160.4299754339","5.1505675041","12.0001534914","133.4134071748","0.0007979409","0.0000000000"
"295","4566","-1106.0601935637","0.0009758963","0.8315260727","1.5396509641","483.4084931439","299.5880598183","183.8204333256","174.3940535572","240.2748432382","-65.8807896810","-71.9514525419","6.0706628608","150.8711063950","112.6524257694","-23.2486889262","-180.0240193489","156.7753304227","4.8542412794","12.0685914946","133.9329879620","0.0152856590","0.0000000000"
"296","11926","-1106.0839660660","0.0009529704","0.8324790431","1.5538232251","483.4226654048","297.8346070683","185.5880583366","172.6406008072","241.1828731259","-68.5422723187","-74.5886565152","6.0463841964","149.7219102677","111.7807525657","-20.3197897076","-181.1365279818","160.8167382743","5.1430267911","12.5889850462","131.9886328051","0.0012656253","0.0000000000"
"297","5003","-1106.0949615785","0.0009425494","0.8334215925","1.5603783311","483.4292205109","297.8583315997","185.5708889111","172.6643253386","239.1347996397","-66.4704743010","-72.5190537136","6.0485794126","149.5526856066","109.9577046466","-20.3755906135","-181.2481008463","160.8725102328","5.1410721630","12.5522430529","131.8583273935","0.0010429971","0.0000000000"
"298","12032","-1106.1137779627","0.0009249798","0.8343465724","1.5715959431","483.4404381228","298.6415390834","184.7988990394","173.4475328223","239.5053798180","-66.0578469957","-72.0643121699","6.0064651742","150.4267371674","109.6368138177","-20.5581711671","-180.9313371637","160.3731659966","5.1512236050","12.5883214512","132.6837309458","0.0034611653","0.0000000000"
"299","2521","-1106.1189205143","0.0009202353","0.8352668076","1.5746617366","483.4435039163","299.3995120272","184.0439918892","174.2055057661","237.2893424447","-63.0838366786","-69.1129067706","6.0290700920","151.9191613107","107.4021415771","-22.0319604431","-181.3913727470","159.3594123039","5.0652679322","12.8562457838","133.9937715242","0.0038760704","0.0000000000"
"300","2393","-1106.1262299836","0.0009135334","0.8361803410","1.5790193640","483.4478615437","299.3428184580","184.1050430857","174.1488121969","239.3500747961","-65.2012625992","-71.2044098495","6.0031472503","150.8767427148","112.6859837793","-24.2126516980","-182.1189609426","157.9063092446","4.9546695937","12.7423424432","133.1728531930","0.0068774849","0.0000000000"
"301","3081","-1106.1274694191","0.0009124018","0.8370927428","1.5797582683","483.4486004480","297.9296956102","185.5189048378","172.7356893492","237.7270341999","-64.9913448507","-71.0541950170","6.0628501663","150.5909176822","106.9171835382","-19.7810670205","-180.5055842629","160.7245172424","5.1519646323","12.2599482895","133.1787698885","0.0002348720","0.0000000000"
"302","4454","-1106.1300311741","0.0009100675","0.8380028103","1.5812854891","483.4501276688","298.6729511399","184.7771765289","173.4789448788","240.0670073302","-66.5880624514","-72.6358508342","6.0477883828","149.8965857341","110.0335862824","-19.8631646862","-180.5202854025","160.6571207162","5.1616189053","12.3480987744","132.3866725673","0.0001954871","0.0000000000"
"303","12259","-1106.1475186822","0.0008942910","0.8388971013","1.5917108758","483.4605530555","298.0648849574","185.3956680981","172.8708786963","239.2736800422","-66.4028013459","-72.4344614142","6.0316600683","149.7515767394","110.1847733990","-20.6626700961","-180.9326531385","160.2699830423","5.1115961261","12.4895337010","132.1494711689","0.0009757433","0.0000000000"
"304","14744","-1106.1582582114","0.0008847381","0.8397818394","1.5981133742","483.4669555540","298.2134132567","185.2535422972","173.0194069957","238.9474822100","-65.9280752143","-71.9641010960","6.0360258817","150.8445151647","108.8348498636","-20.7318828183","-180.1639752712","159.4320924529","5.0791656228","12.1815831422","133.5828329289","0.0009334709","0.0000000000"
"305","24408","-1106.1591248904","0.0008839717","0.8406658111","1.5986300552","483.4674722350","298.6521650376","184.8153071974","173.4581587765","241.9296269574","-68.4714681810","-74.4801689316","6.0087007506","150.2297774051","114.8755333279","-23.1756837756","-182.2411152080","159.0654314323","5.0029341307","12.5858224714","132.6306428756","0.0103779274","0.0000000000"
"306","17174","-1106.1635602142","0.0008800596","0.8415458707","1.6012742265","483.4701164062","298.6005562483","184.8695601579","173.4065499872","241.5016332271","-68.0950832399","-74.1234904207","6.0284071808","150.4729424891","112.0501167461","-21.0214260080","-180.0700960507","159.0486700427","5.0621809424","12.2930246758","133.1174207644","0.0003161065","0.0000000000"
"307","16656","-1106.1740189176","0.0008709033","0.8424167741","1.6075093073","483.4763514871","297.8884600051","185.5878914820","172.6944537440","235.3856220429","-62.6911682989","-68.6886304162","5.9974621173","150.6834922386","106.0793527179","-21.3772229136","-181.4603382914","160.0831153778","5.0354809949","12.2021671853","133.4448040298","0.0010400286","0.0000000000"
"308","10407","-1106.1910015920","0.0008562379","0.8432730120","1.6176337314","483.4864759111","297.8153019439","185.6711739672","172.6212956829","235.7040086662","-63.0827129833","-69.1077656276","6.0250526443","150.6389424512","105.4130855886","-20.3480193737","-181.6783397330","161.3303203593","5.1314200226","12.6873315103","132.8194101345","0.0007807838","0.0000000000"
"309","14287","-1106.2002393674","0.0008483646","0.8441213766","1.6231409414","483.4919831211","297.7247892172","185.7671939039","172.5307829561","235.2006839547","-62.6699009986","-68.6871640187","6.0172630202","150.4852600270","105.8014990241","-21.0860750964","-181.7777440701","160.6916689737","5.0650876613","12.2645489685","133.1544985778","0.0011248194","0.0000000000"
"310","10002","-1106.2312697717","0.0008224438","0.8449438204","1.6416400873","483.5104822670","300.0703021491","183.4401801180","174.8762958880","239.3049403526","-64.4286444646","-70.4533267988","6.0246823341","151.1146443202","109.4746484162","-21.2843523839","-179.5410458037","158.2566934198","5.0422337079","12.7665436203","133.2448783230","0.0609886690","0.0000000000"
"311","11848","-1106.2331940839","0.0008208627","0.8457646831","1.6427872890","483.5116294687","300.0147886569","183.4968408118","174.8207823958","244.7212900402","-69.9005076444","-75.9207347974","6.0202271530","149.9641880461","118.3509322422","-23.5938302482","-180.2598365935","156.6660063454","4.8469972939","12.0985326409","133.0027852077","0.0158729035","0.0000000000"
