" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.1615549226"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","27652","-1246.9649457013","0.0477881527","0.0477881527","0.0000000000","565.6404649795","364.0787878290","201.5616771504","229.9423525493","302.7400826207","-72.7977300714","-78.9230739686","6.1253438972","146.2655195849","183.0580222677","-26.5834592319","-176.6365038117","150.0530445798","4.3176229895","9.6107316229","132.3371649724","0.0000000000","0.0000000000"
"2","28961","-1247.1696122816","0.0389434727","0.0867316254","0.1220144244","565.7624794039","364.6316825279","201.1307968760","230.4952472482","301.6866252535","-71.1913780054","-77.3136044601","6.1222264547","146.8805835811","181.7827359496","-26.9766942772","-176.5134429051","149.5367486279","4.3216826153","9.6674816344","132.8914193315","0.0000000000","0.0000000000"
"3","28956","-1247.3945175936","0.0310999392","0.1178315646","0.2560944104","565.8965593898","363.7631603007","202.1333990891","229.6267250210","303.0427678059","-73.4160427849","-79.6297861639","6.2137433790","146.4848916700","182.2186985279","-25.6608223921","-176.7623032381","151.1014808460","4.3714599643","10.1260710494","131.9873606563","0.0000000000","0.0000000000"
"4","23354","-1248.1412718267","0.0147383307","0.1325698953","0.7012808586","566.3417458380","364.8817306605","201.4600151775","230.7452953808","315.9244386206","-85.1791432398","-91.4200189649","6.2408757251","146.7142732565","195.6277270376","-26.4175616735","-177.6936344356","151.2760727620","4.3912150594","10.0203404641","132.3027177330","0.0000000000","0.0000000000"
"5","27842","-1248.1879385760","0.0140663424","0.1466362377","0.7291017981","566.3695667776","362.4649485828","203.9046181948","228.3285133031","297.4429011359","-69.1143878328","-75.2151862311","6.1007983983","146.5808637613","175.3824031544","-24.5203657798","-178.6008622550","154.0804964752","4.4091563541","10.4600322806","131.7116751266","0.0000000000","0.0000000000"
"6","24565","-1248.2743979110","0.0129012673","0.1595375051","0.7806455626","566.4211105420","362.7524560921","203.6686544500","228.6160208123","298.1089154134","-69.4928946011","-75.6083931905","6.1154985894","146.8001737644","175.7507405017","-24.4419988527","-177.9855700005","153.5435711479","4.3938356533","10.1963822883","132.2099558227","0.0000000000","0.0000000000"
"7","26702","-1248.5090083203","0.0102033402","0.1697408453","0.9205113580","566.5609763375","362.8419750780","203.7190012594","228.7055397983","296.8112290266","-68.1056892283","-74.1564523255","6.0507630972","146.8486079015","177.3046161763","-27.3419950511","-180.0238998231","152.6819047719","4.3239290909","9.4361733587","133.0885054518","0.0000000000","0.0000000000"
"8","14857","-1248.6304433235","0.0090365741","0.1787774194","0.9929062845","566.6333712640","364.9011526185","201.7322186454","230.7647173388","316.1438458846","-85.3791285458","-91.6394909366","6.2603623908","146.4739067444","195.7770202850","-26.1070811449","-177.8892288259","151.7821476810","4.4222199456","10.0803055017","131.9713812972","0.0000000000","0.0000000000"
"9","28451","-1248.6839919530","0.0085654058","0.1873428252","1.0248299390","566.6652949185","362.9428909315","203.7224039870","228.8064556518","297.3970654987","-68.5922641881","-74.6689816172","6.0767174291","147.1589969387","174.9317085032","-24.6936399433","-178.0640811866","153.3704412434","4.3939036333","10.4767581202","132.2883351852","0.0000000000","0.0000000000"
"10","28349","-1248.7093520529","0.0083509174","0.1956937426","1.0399486652","566.6804136447","362.3179985492","204.3624150954","228.1815632695","295.7544283622","-67.5728650927","-73.5533431875","5.9804780948","147.0875839165","175.9619616083","-27.2951171626","-181.3589630022","154.0638458397","4.2288732667","9.4702925411","133.3884181087","0.0000000000","0.0000000000"
