" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.1615549226"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"11","20634","-1248.7657243271","0.0078931803","0.2035869229","1.0735556693","566.7140206487","364.5214159355","202.1926047132","230.3849806558","314.9018679943","-84.5168873385","-90.7355791837","6.2186918452","147.3961731358","194.6671313445","-27.1614364860","-179.2011055802","152.0396690942","4.3507494583","10.0685041069","132.9769195706","0.0000000000","0.0000000000"
"12","19979","-1248.7942149132","0.0076714722","0.2112583951","1.0905406722","566.7310056517","364.5666884784","202.1643171733","230.4302531987","314.8263382286","-84.3960850299","-90.6323437295","6.2362586995","146.4683928489","194.2600400938","-25.9020947141","-178.2201928025","152.3180980883","4.4432558826","10.1739719642","131.8511650021","0.0000000000","0.0000000000"
"13","20361","-1248.8436761237","0.0073012629","0.2185596580","1.1200275632","566.7604925426","365.1793831419","201.5811094007","231.0429478622","315.2509220811","-84.2079742189","-90.4882890670","6.2803148481","147.1875595488","193.6248623761","-25.5614998438","-176.7929941969","151.2314943531","4.4168480591","10.4851674963","132.2855439934","0.0000000000","0.0000000000"
"14","28399","-1248.8643787679","0.0071516614","0.2257113194","1.1323696916","566.7728346710","362.0400555603","204.7327791107","227.9036202806","290.4409869055","-62.5373666250","-68.4459596772","5.9085930522","148.6391144591","170.7212427416","-28.9193702952","-183.2944073100","154.3750370148","4.1929603277","9.5781059529","134.8680481784","0.0000000000","0.0000000000"
"15","23278","-1248.8741247350","0.0070823001","0.2327936195","1.1381798662","566.7786448457","364.5459240913","202.2327207544","230.4094888116","315.4591294616","-85.0496406501","-91.3244134879","6.2747728379","146.2444971280","194.7742924160","-25.5596600823","-178.3212666961","152.7616066138","4.4768446323","10.2261358509","131.5415166447","0.0000000000","0.0000000000"
"16","28560","-1248.8815559724","0.0070298649","0.2398234844","1.1426100870","566.7830750665","360.9259138540","205.8571612125","226.7894785742","288.9650824418","-62.1585991395","-68.1256341617","5.9670350222","147.3961152498","168.1783979425","-26.6094307506","-183.0696966461","156.4602658955","4.3220713762","9.9473244247","133.1267194489","0.0000000000","0.0000000000"
"17","22819","-1248.9161725734","0.0067906786","0.2466141630","1.1632471869","566.8037121663","363.6896732544","203.1140389119","229.5532379747","302.2406792191","-72.6874412444","-78.8293667440","6.1419254996","146.7128149567","179.5537945906","-24.0259303281","-177.5161345963","153.4902042681","4.4236612555","10.2653378325","132.0238158687","0.0000000000","0.0000000000"
"18","22703","-1248.9473171941","0.0065824450","0.2531966081","1.1818144242","566.8222794036","363.5267984805","203.2954809231","229.3903632008","299.9920902584","-70.6017270576","-76.6994698063","6.0977427487","146.5080909877","178.0420796080","-24.5580803373","-177.9111259624","153.3530456251","4.3934207967","10.2616862075","131.8529839835","0.0000000000","0.0000000000"
"19","29744","-1248.9976844616","0.0062591162","0.2594557243","1.2118414718","566.8523064513","363.9196359280","202.9326705233","229.7832006483","301.2207437896","-71.4375431413","-77.5396995477","6.1021564064","147.1379828592","178.2278617606","-24.1451008302","-177.2991898308","153.1540890006","4.4065961197","10.5179381131","132.2134486264","0.0000000000","0.0000000000"
"20","27796","-1249.0008285359","0.0062394680","0.2656951923","1.2137158492","566.8541808287","361.2404456415","205.6137351872","227.1040103618","292.3024843335","-65.1984739718","-71.1930198723","5.9945459005","146.9673424865","172.3904443211","-27.0553024740","-182.5123652326","155.4570627586","4.3535548147","9.6830200849","132.9307675869","0.0000000000","0.0000000000"
"21","6671","-1249.0034616015","0.0062230607","0.2719182530","1.2152855827","566.8557505622","363.8787215657","202.9770289965","229.7422862860","313.8886783735","-84.1280165370","-90.3331285677","6.2051120307","147.0344508733","194.8780571319","-28.0238296318","-180.2429784388","152.2191488069","4.3212249789","9.9421172542","132.7711086402","0.0000000000","0.0000000000"
"22","19995","-1249.0435427750","0.0059785657","0.2778968186","1.2391804526","566.8796454321","365.2967455576","201.5828998745","231.1603102778","315.4039756093","-84.2436653315","-90.5483057434","6.3046404119","146.9809590675","193.4998504969","-25.0768339551","-176.8668459345","151.7900119794","4.4451749375","10.4842598356","132.0515242944","0.0000000000","0.0000000000"
"23","25421","-1249.0493138453","0.0059441623","0.2838409809","1.2426209451","566.8830859245","365.4713391865","201.4117467380","231.3349039068","316.7438408437","-85.4089369370","-91.6352086378","6.2262717008","146.5018961077","196.6213566402","-26.3794119042","-177.6584932408","151.2790813366","4.4126284310","10.1721152732","131.9171524034","0.0000000000","0.0000000000"
"24","23402","-1249.0596927210","0.0058827876","0.2897237686","1.2488084357","566.8892734152","363.1141869395","203.7750864757","228.9777516597","299.3164378103","-70.3386861506","-76.4502225023","6.1115363517","146.2962933457","177.5559992516","-24.5358547869","-178.5290469704","153.9931921835","4.4179465405","10.5769004967","131.3014463085","0.0000000000","0.0000000000"
"25","23810","-1249.0850511533","0.0057354849","0.2954592535","1.2639261677","566.9043911472","365.3919466775","201.5124444697","231.2555113978","318.0496182087","-86.7941068109","-92.9905594354","6.1964526245","147.2459350639","197.4272567358","-26.6235735910","-177.4001741072","150.7766005161","4.3905689649","10.0513531675","132.8040129315","0.0000000000","0.0000000000"
"26","15583","-1249.0916967641","0.0056974955","0.3011567490","1.2678880280","566.9083530074","365.3758661300","201.5324868774","231.2394308503","315.4960260972","-84.2565952469","-90.5301583868","6.2735631398","146.9536343326","193.7109172134","-25.1685254488","-176.9592556111","151.7907301623","4.4578778359","10.5810582981","131.9146981986","0.0000000000","0.0000000000"
"27","26980","-1249.0984896258","0.0056589244","0.3068156734","1.2719376735","566.9124026530","361.5394973503","205.3729053027","227.4030620706","291.8068012101","-64.4037391395","-70.3611545591","5.9574154195","147.5304797085","171.5883462054","-27.3120247038","-182.0251958474","154.7131711436","4.3247451190","9.7207404340","133.4849941555","0.0000000000","0.0000000000"
"28","22820","-1249.1198488196","0.0055393360","0.3123550094","1.2846712118","566.9251361913","363.3567399064","203.5683962848","229.2203046267","300.0435539628","-70.8232493361","-76.9668763696","6.1436270335","146.5831534968","177.8791568604","-24.4187563945","-177.9291937061","153.5104373116","4.4095873923","10.3378530314","131.8357130731","0.0000000000","0.0000000000"
"29","28041","-1249.1330794384","0.0054665299","0.3178215392","1.2925588031","566.9330237826","363.1144036758","203.8186201068","228.9779683961","299.6606573223","-70.6826889262","-76.7787815740","6.0960926478","146.3060708244","177.8444395548","-24.4898530569","-178.5575307147","154.0676776578","4.4255525127","10.6066236244","131.2738946873","0.0000000000","0.0000000000"
"30","22892","-1249.1477874378","0.0053867165","0.3232082558","1.3013271525","566.9417921320","365.7274964402","201.2142956918","231.5910611605","319.5860701437","-87.9950089833","-94.2911238244","6.2961148411","145.5125609617","200.1163728175","-26.0428636354","-176.8094707470","150.7666071116","4.3774143534","10.0278180256","131.1073285827","0.0000000000","0.0000000000"
"31","29093","-1249.1642074194","0.0052989890","0.3285072447","1.3111161205","566.9515810999","363.1840058122","203.7675752877","229.0475705325","295.7600130556","-66.7124425231","-72.6968941637","5.9844516406","147.0319582240","176.8446136819","-28.1165588503","-181.1497395115","153.0331806612","4.3403403899","9.9531982642","132.7384195700","0.0000000000","0.0000000000"
"32","23345","-1249.1789080946","0.0052216600","0.3337289048","1.3198801035","566.9603450829","365.0896537666","201.8706913163","230.9532184869","315.0963151083","-84.1430966214","-90.4653999318","6.3223033103","147.0537373806","193.3254456740","-25.2828679462","-177.1968509369","151.9139829907","4.4530053166","10.5637188010","132.0370132630","0.0000000000","0.0000000000"
"33","15402","-1249.2827636273","0.0047065720","0.3384354768","1.3817948187","567.0222597982","365.3412427116","201.6810170866","231.2048074319","320.6672065974","-89.4623991655","-95.7511240295","6.2887248640","144.7696952425","201.8315168610","-25.9340055061","-176.0096022654","150.0755967593","4.3319646495","10.0349505340","130.4027800591","0.0000000000","0.0000000000"
"34","25362","-1249.3064728009","0.0045962955","0.3430317723","1.3959293256","567.0363943050","363.2388066041","203.7975877009","229.1023713243","298.1885475250","-69.0861762006","-75.1665859298","6.0804097292","147.5100544135","175.7057471884","-25.0272540769","-178.8998668463","153.8726127693","4.3954414034","10.1194996120","132.9951133982","0.0000000000","0.0000000000"
"35","22885","-1249.3230956945","0.0045205233","0.3475522956","1.4058392619","567.0463042414","364.7918606274","202.2544436140","230.6554253477","315.8179096618","-85.1624843141","-91.4273496609","6.2648653467","146.4008844339","194.8750614803","-25.4580362525","-178.1464688940","152.6884326415","4.4731944359","10.2609900084","131.6666999896","0.0000000000","0.0000000000"
"36","29065","-1249.3477179830","0.0044105768","0.3519628724","1.4205181331","567.0609831126","361.3453672033","205.7156159093","227.2089319235","292.6764094709","-65.4674775473","-71.4719904537","6.0045129063","147.2220369203","171.8043792620","-26.3500067115","-182.9104744884","156.5604677770","4.3369178040","10.0176726360","132.8674464803","0.0000000000","0.0000000000"
"37","19965","-1249.3834317659","0.0042558380","0.3562187104","1.4418093310","567.0822743105","364.7536529375","202.3286213730","230.6172176577","316.8755641113","-86.2583464536","-92.5345377049","6.2761912513","146.2420271622","195.7531981851","-25.1196612360","-178.2760864216","153.1564251855","4.5110977101","10.3041466579","131.4267827942","0.0000000000","0.0000000000"
"38","20767","-1249.3889443672","0.0042324418","0.3604511522","1.4450957341","567.0855607135","365.5906273657","201.4949333478","231.4541920859","316.8101156435","-85.3559235576","-91.6182926491","6.2623690915","146.2971957116","196.8889658128","-26.3760458809","-177.1888995864","150.8128537054","4.3838188988","10.1576222672","131.7557545457","0.0000000000","0.0000000000"
"39","17506","-1249.3895390834","0.0042299255","0.3646810777","1.4454502812","567.0859152607","365.0772454400","202.0086698207","230.9408101602","320.7386214580","-89.7978112978","-96.0294667332","6.2316554354","145.6197143387","202.6895419161","-27.5706347967","-178.3854175754","150.8147827787","4.2920611957","9.8956789100","131.4319742330","0.0000000000","0.0000000000"
"40","22003","-1249.3924410509","0.0042176682","0.3688987459","1.4471803238","567.0876453032","361.7984267543","205.2892185489","227.6619914746","292.0543694032","-64.3825630615","-70.3683831254","5.9858200638","147.1063718413","171.7950431723","-26.8470456104","-182.4247818560","155.5777362456","4.3404893303","9.6674748940","133.0984076170","0.0000000000","0.0000000000"
"41","22658","-1249.4002346495","0.0041849251","0.3730836710","1.4518265706","567.0922915500","365.4368603898","201.6554311603","231.3004251101","317.7501417946","-86.4497166846","-92.7120943814","6.2623776968","146.1119431660","197.7791965338","-26.1409979052","-177.8986544748","151.7576565696","4.4317898661","10.2075055568","131.4726477432","0.0000000000","0.0000000000"
"42","12950","-1249.4039567150","0.0041693775","0.3772530485","1.4540455244","567.0945105038","364.9866350106","202.1078754932","230.8501997309","308.0430729294","-77.1928731985","-83.4089303941","6.2160571956","146.4849825867","187.4650097705","-25.9069194278","-177.0523322686","151.1454128408","4.3725864645","9.7453618063","132.3670343159","0.0000000000","0.0000000000"
"43","17532","-1249.4059257440","0.0041611759","0.3814142244","1.4552193845","567.0956843639","365.7222507801","201.3734335838","231.5858155004","316.0953823726","-84.5095668721","-90.7781290458","6.2685621736","146.8026206889","194.8128310250","-25.5200693413","-176.5590538575","151.0389845162","4.4205043464","10.5595392241","131.8225771183","0.0000000000","0.0000000000"
"44","15553","-1249.4083987936","0.0041508979","0.3855651223","1.4566937226","567.0971587020","365.4359134377","201.6612452643","231.2994781580","317.1766928274","-85.8772146694","-92.1330945318","6.2558798624","146.2347911198","197.0027218007","-26.0608200931","-177.7935062359","151.7326861428","4.4402105855","10.2327528502","131.5618276841","0.0000000000","0.0000000000"
"45","5498","-1249.4108847824","0.0041405916","0.3897057139","1.4581757744","567.0986407539","365.1934896172","201.9051511366","231.0570543375","315.5666477805","-84.5095934430","-90.8432896331","6.3336961901","146.8821251238","193.4801621560","-24.7956394994","-177.3043021077","152.5086626084","4.4858656800","10.5733472084","131.8229122354","0.0000000000","0.0000000000"
"46","17393","-1249.4161554046","0.0041188255","0.3938245394","1.4613179188","567.1017828982","365.6284583807","201.4733245175","231.4920231010","318.3493604844","-86.8573373834","-93.1133327740","6.2559953907","147.0408255092","197.4250690187","-26.1165340436","-176.9918613386","150.8753272950","4.3946254977","10.0913926706","132.5548073408","0.0000000000","0.0000000000"
"47","28959","-1249.4224718375","0.0040928912","0.3979174306","1.4650835356","567.1055485151","365.3080458778","201.7975026373","231.1716105981","308.7529292538","-77.5813186557","-83.6667840931","6.0854654373","145.2666882505","190.2732045292","-26.7869635259","-176.5653988713","149.7784353455","4.3340518739","9.6229701575","131.3096662191","0.0000000000","0.0000000000"
"48","28457","-1249.4449319679","0.0040019890","0.4019194197","1.4784734104","567.1189383898","363.2131800766","203.9057583132","229.0767447969","296.6386212515","-67.5618764547","-73.6272592888","6.0653828341","147.1713240051","175.1016954850","-25.6343982385","-178.4374999512","152.8031017127","4.3265718013","9.9022400891","132.9425121146","0.0000000000","0.0000000000"
"49","8579","-1249.4488545029","0.0039863218","0.4059057415","1.4808118765","567.1212768559","365.7953497660","201.3259270900","231.6589144862","315.4250948916","-83.7661804053","-90.0489770385","6.2827966332","147.6402399889","192.9675737682","-25.1827188656","-176.0930510443","150.9103321787","4.4284631418","10.4221586169","132.7896182303","0.0000000000","0.0000000000"
"50","11093","-1249.4930698049","0.0038139052","0.4097196467","1.5071713565","567.1476363359","365.5266583019","201.6209780341","231.3902230221","316.6144545079","-85.2242314858","-91.5030327596","6.2788012738","146.1669602003","196.5103614119","-26.0628671043","-177.7905135516","151.7276464473","4.4372031778","10.2272481374","131.5025088850","0.0000000000","0.0000000000"
"51","17513","-1249.4964936611","0.0038008693","0.4135205160","1.5092125292","567.1496775086","365.3874657774","201.7622117312","231.2510304976","318.1207781943","-86.8697476967","-93.1061176615","6.2363699649","146.9880534919","197.4400772739","-26.3073525715","-177.5365215738","151.2291690023","4.4172891172","10.1034914830","132.4672728916","0.0000000000","0.0000000000"
"52","13126","-1249.5028139997","0.0037769223","0.4172974382","1.5129804745","567.1534454539","364.5249924681","202.6284529858","230.3885571883","303.8554612427","-73.4669040544","-79.5897442881","6.1228402337","147.1519980420","183.6874821129","-26.9840189121","-178.2284307768","151.2444118647","4.3527427136","9.6817814186","133.1174739098","0.0000000000","0.0000000000"
"53","23363","-1249.5248673470","0.0036945402","0.4209919784","1.5261278406","567.1665928201","365.1503018630","202.0162909571","231.0138665833","316.5498160186","-85.5359494353","-91.7970156446","6.2610662093","146.0661699595","196.3315728971","-25.8479268381","-178.1622132893","152.3142864512","4.4528355500","10.3187780932","131.2945563163","0.0000000000","0.0000000000"
"54","19964","-1249.5292337068","0.0036784437","0.4246704221","1.5287308981","567.1691958776","365.7086915918","201.4605042858","231.5722563120","315.9821687302","-84.4099124182","-90.6777520981","6.2678396800","146.8781541635","194.6216157541","-25.5176011874","-176.6980600807","151.1804588933","4.4327716668","10.6282206123","131.8171618844","0.0000000000","0.0000000000"
"55","22575","-1249.5295733607","0.0036771945","0.4283476166","1.5289333869","567.1693983663","363.9946318125","203.1747665539","229.8581965327","301.9381698468","-72.0799733141","-78.1935330831","6.1135597690","146.2896172886","180.1961660018","-24.5476134436","-177.8470539892","153.2994405456","4.4072819672","10.3936405796","131.4886947419","0.0000000000","0.0000000000"
"56","20630","-1249.5334425204","0.0036629943","0.4320106109","1.5312400326","567.1717050121","365.0359382334","202.1357667787","230.8995029537","320.8416310292","-89.9421280755","-96.2297717234","6.2876436479","144.6443644803","201.6790702399","-25.4818036910","-176.1172434862","150.6354397952","4.3674348529","10.1039197063","130.1730099210","0.0000000000","0.0000000000"
"57","16636","-1249.5682781448","0.0035375886","0.4355481996","1.5520077058","567.1924726853","364.6933115290","202.4991611563","230.5568762493","315.0995835854","-84.5427073361","-90.7725052403","6.2297979041","147.2406313132","194.6664931841","-26.8075409119","-179.4068808507","152.5993399388","4.3849630295","10.1767348118","132.6789334718","0.0000000000","0.0000000000"
"58","26690","-1249.5695648199","0.0035330398","0.4390812394","1.5527747726","567.1932397520","363.6204205250","203.5728192270","229.4839852453","299.3664007372","-69.8824154919","-75.9437834192","6.0613679273","147.0394662175","177.3423405204","-25.0154060006","-179.0678690964","154.0524630958","4.4038163950","10.3070897157","132.3285601067","0.0000000000","0.0000000000"
"59","26909","-1249.5725733587","0.0035224265","0.4426036659","1.5545683488","567.1950333283","363.2865852388","203.9084480896","229.1501499590","301.0691624265","-71.9190124675","-78.0347855200","6.1157730526","146.5576707946","180.8573883914","-26.3458967595","-179.4905041480","153.1446073885","4.3543030274","9.5693010997","132.6340666675","0.0000000000","0.0000000000"
"60","12545","-1249.5889339217","0.0034652665","0.4460689324","1.5643218938","567.2047868732","364.0325292151","203.1722576582","229.8960939353","313.8198029297","-83.9237089944","-90.1435159842","6.2198069898","146.9300048591","194.5685410131","-27.6787429425","-180.4842344600","152.8054915175","4.3541062155","10.0346230689","132.5412755747","0.0000000000","0.0000000000"
"61","20131","-1249.5900755159","0.0034613128","0.4495302452","1.5650024688","567.2054674482","364.4010995036","202.8043679446","230.2646642239","319.2449647025","-88.9803004786","-95.1772450629","6.1969445842","145.3314201804","202.2791912891","-28.3656467670","-179.5496383962","151.1839916292","4.2758353639","9.8454887715","131.2100960450","0.0000000000","0.0000000000"
"62","15572","-1249.6041469484","0.0034129483","0.4529431934","1.5733913212","567.2138563007","365.5528971095","201.6609591911","231.4164618298","315.9990311558","-84.5825693260","-90.9058576478","6.3232883218","146.6654304190","194.5819871885","-25.2483864518","-176.9661539435","151.7177674918","4.4553217166","10.6274455472","131.5826631553","0.0000000000","0.0000000000"
"63","30449","-1249.6066519927","0.0034044094","0.4563476028","1.5748847332","567.2153497127","360.7493119473","206.4660377654","226.6128766676","291.6663523086","-65.0375742244","-71.0563646965","6.0187904721","147.1158409953","170.5357377626","-25.9852264493","-183.7835674405","157.7983409912","4.3976576287","10.0951404111","132.6230429555","0.0000000000","0.0000000000"
"64","25916","-1249.6254650369","0.0033409608","0.4596885636","1.5861003541","567.2265653335","365.1357528825","202.0908124510","230.9993176028","315.7025070965","-84.7031894937","-90.9404157803","6.2372262866","147.1612499622","195.6654143799","-27.1241572456","-179.1292063413","152.0050490957","4.3684433062","10.2233116678","132.5694949882","0.0000000000","0.0000000000"
"65","18099","-1249.6270655407","0.0033356178","0.4630241814","1.5870545135","567.2275194930","365.3713528467","201.8561666463","231.2349175670","315.8190875995","-84.5739999631","-90.8799672712","6.3059673081","146.8991045459","193.7863520641","-24.8663690106","-177.3710061478","152.5046371372","4.4991158345","10.6738632110","131.7261255004","0.0000000000","0.0000000000"
"66","13186","-1249.6447794081","0.0032770514","0.4663012328","1.5976148470","567.2380798264","365.1362370224","202.1018428040","230.9998017426","317.2151883145","-86.2153865719","-92.5110758265","6.2956892546","145.8357861397","196.8764539117","-25.4970517368","-178.2586411187","152.7615893819","4.4863700839","10.3683789749","130.9810370809","0.0000000000","0.0000000000"
"67","29010","-1249.6486597026","0.0032643601","0.4695655929","1.5999281309","567.2403931103","361.4790655234","205.7613275869","227.3426302437","288.6959090709","-61.3532788272","-67.3060193018","5.9527404746","147.9677578583","167.6343732126","-26.9062219999","-182.7709120019","155.8646900020","4.3068199201","9.9672928060","133.6936451322","0.0000000000","0.0000000000"
"68","28443","-1249.6654994620","0.0032098493","0.4727754422","1.6099673544","567.2504323338","361.7443690649","205.5060632689","227.6079337852","293.2027536795","-65.5948198943","-71.5399943752","5.9451744809","147.1411906219","173.2494052887","-27.1878422312","-183.2804715681","156.0926293369","4.2873474035","9.8971889003","132.9566543181","0.0000000000","0.0000000000"
"69","25239","-1249.6693522646","0.0031975062","0.4759729484","1.6122642486","567.2527292281","366.0399855435","201.2127436846","231.9035502638","316.9779150571","-85.0743647934","-91.3033470548","6.2289822614","147.6872771106","194.8603652055","-25.5697272589","-176.6787675353","151.1090402764","4.4287063774","10.6064105463","132.6521601869","0.0000000000","0.0000000000"
"70","22655","-1249.6759332710","0.0031765325","0.4791494809","1.6161875941","567.2566525736","364.1105045391","203.1461480344","229.9740692594","298.6610425849","-68.6869733255","-74.7581597213","6.0711863958","147.0372176337","176.3594683875","-24.7356434363","-177.4918855442","152.7562421079","4.3854321258","10.2954971328","132.3562883751","0.0000000000","0.0000000000"
"71","25136","-1249.6789472499","0.0031669729","0.4823164538","1.6179844137","567.2584493931","364.3135362638","202.9449131293","230.1771009841","304.5401762636","-74.3630752795","-80.5214674226","6.1583921431","146.4411625197","182.1686338522","-24.0696201083","-177.4477224914","153.3781023831","4.4318813739","10.3714033498","131.6378777959","0.0000000000","0.0000000000"
"72","20100","-1249.6881852825","0.0031378510","0.4854543048","1.6234917770","567.2639567565","365.0225692443","202.2413875122","230.8861339646","317.2109740596","-86.3248400950","-92.5837999801","6.2589598851","146.7731561884","196.2334260854","-25.7956082142","-178.0298611121","152.2342528979","4.4712021675","10.2465853020","132.0553687189","0.0000000000","0.0000000000"
"73","12330","-1249.6911177105","0.0031286630","0.4885829678","1.6252399790","567.2657049584","365.2054727860","202.0602321724","231.0690375063","315.3861686425","-84.3171311362","-90.5537827085","6.2366515723","146.1685248222","195.0745192736","-25.8568754534","-178.1455452892","152.2886698358","4.4598835339","10.3217705499","131.3868707385","0.0000000000","0.0000000000"
"74","29380","-1249.6935256623","0.0031211384","0.4917041061","1.6266755082","567.2671404876","362.9193416161","204.3477988716","228.7829063363","297.5535402576","-68.7706339213","-74.8470825702","6.0764486489","146.6103362866","178.5366517527","-27.5934477817","-181.7275776592","154.1341298775","4.3967022891","10.0264572360","132.1871767616","0.0000000000","0.0000000000"
"75","25162","-1249.6955908522","0.0031146993","0.4948188054","1.6279066958","567.2683716753","363.5381178816","203.7302537937","229.4016826018","298.5127487755","-69.1110661736","-75.2015868879","6.0905207143","147.4218094209","175.6180406876","-24.5271013330","-177.7793528170","153.2522514840","4.4065737788","10.3131272064","132.7021084358","0.0000000000","0.0000000000"
