" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"16","9869","-1145.4855206089","0.0068523596","0.1501447965","0.5411541460","522.8229159063","364.0140979446","158.8088179617","253.1279781134","288.2295778785","-35.1015997651","-40.9218183761","5.8202186110","133.5131069856","164.9332519994","-10.2167811065","-144.3232621715","134.1064810651","4.9148137741","15.0000108661","113.5982823453","0.0000000000","0.0000000000"
"17","6750","-1145.5000575836","0.0067534675","0.1568982640","0.5498205370","522.8315822973","364.0654406224","158.7661416749","253.1793207911","291.9467463266","-38.7674255355","-44.6881997299","5.9207741944","132.3475992563","168.7564072099","-9.1572601395","-143.6313619837","134.4741018442","5.0698543818","14.8249357518","112.4528091227","0.0000000000","0.0000000000"
"18","8606","-1145.5262836988","0.0065786527","0.1634769167","0.5654555486","522.8472173088","364.5765902274","158.2706270814","253.6904703962","292.4178118742","-38.7273414781","-44.5685873495","5.8412458714","133.7498320197","168.8004367700","-10.1324569155","-143.4248326800","133.2923757645","4.9179765263","15.2457466787","113.5861088147","0.0000000000","0.0000000000"
"19","5253","-1145.5315410254","0.0065441573","0.1700210740","0.5685897666","522.8503515268","363.8494368760","159.0009146509","252.9633170447","291.7489933317","-38.7856762870","-44.6209713809","5.8352950940","132.8243844187","168.6515594872","-9.7269505743","-144.9061964681","135.1792458939","4.9938986914","15.0346424040","112.7958433233","0.0000000000","0.0000000000"
"20","10265","-1145.5341146498","0.0065273368","0.1765484107","0.5701240635","522.8518858238","364.5472523868","158.3046334370","253.6611325555","291.5665149933","-37.9053824378","-43.7583519652","5.8529695274","133.7984515849","167.8679163594","-10.0998529509","-143.5305884422","133.4307354913","4.9233700342","15.2420323939","113.6330491568","0.0000000000","0.0000000000"
"21","12724","-1145.5473721942","0.0064413714","0.1829897822","0.5780277068","522.8597894671","363.9339776344","158.9258118326","253.0478578032","291.9732730202","-38.9254152170","-44.8015012607","5.8760860437","132.5400972526","169.0584518373","-9.6252760698","-144.5371589266","134.9118828568","4.9807002895","15.1583747297","112.4010222334","0.0000000000","0.0000000000"
"22","11451","-1145.5664729772","0.0063195038","0.1893092859","0.5894148666","522.8711766268","364.4777801771","158.3933964497","253.5916603458","293.3448729264","-39.7532125806","-45.6779365322","5.9247239516","132.7712214604","170.0252867090","-9.4516352430","-143.0775790224","133.6259437794","4.9522885276","15.3062016542","112.5127312786","0.0000000000","0.0000000000"
"23","7306","-1145.5670660831","0.0063157567","0.1956250427","0.5897684537","522.8715302140","363.9310443401","158.9404858739","253.0449245088","290.3504507596","-37.3055262508","-43.1898445760","5.8843183252","132.6527652715","167.2588546377","-9.5611691495","-144.4873705242","134.9262013747","5.0299658038","14.9456614612","112.6771380065","0.0000000000","0.0000000000"
"24","6435","-1145.5714370606","0.0062882110","0.2019132536","0.5923742642","522.8741360244","364.4997015546","158.3744344698","253.6135817234","294.3929531828","-40.7793714595","-46.6654270746","5.8860556151","132.7909272364","171.1331738577","-9.5311479113","-143.6634991130","134.1323512017","4.9818938794","15.4006589341","112.4083744228","0.0000000000","0.0000000000"
"25","12517","-1145.5829750923","0.0062160743","0.2081293279","0.5992527994","522.8810145597","363.8910531002","158.9899614595","253.0049332690","291.5012390292","-38.4963057602","-44.3662572454","5.8699514852","132.8533576994","168.3814416262","-9.7335602964","-144.9278596211","135.1942993247","4.9930595285","15.0552369923","112.8050611786","0.0000000000","0.0000000000"
