" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"183","11251","-1146.9331723003","0.0016111390","0.6544951003","1.4041889790","523.6859507393","364.7231722479","158.9627784914","253.8370524166","289.8930643540","-36.0560119374","-41.7923144281","5.7363024907","136.0881130874","166.6163717678","-12.8114205012","-151.0606503562","138.2492298550","4.9296110486","18.8169098248","112.3415922140","0.0000000000","0.0000000000"
"184","11407","-1146.9337904018","0.0016101434","0.6561052437","1.4045574676","523.6863192278","365.6676798520","158.0186393758","254.7815600208","294.7758389477","-39.9942789269","-45.8171340623","5.8228551354","134.2916170260","170.9743194165","-10.4900974948","-142.7792479548","132.2891504600","4.8827237569","15.7046249375","113.7042683317","0.0000000000","0.0000000000"
"185","11521","-1146.9465488203","0.0015897310","0.6576949747","1.4121635511","523.6939253113","365.0763790093","158.6175463020","254.1902591781","295.2485036552","-41.0582444771","-46.9115619514","5.8533174743","133.2159122877","171.9459056869","-9.9133143194","-144.8490634263","134.9357491068","4.9761368352","15.5778117653","112.6619636871","0.0000000000","0.0000000000"
"186","7563","-1146.9515016428","0.0015818768","0.6592768516","1.4151162353","523.6968779955","365.1424684104","158.5544095851","254.2563485791","294.2983922413","-40.0420436622","-45.9481778907","5.9061342285","132.1640084415","171.2482858627","-9.1139020629","-143.1786036798","134.0647016169","5.0333175098","14.8529812340","112.2777096977","0.0000000000","0.0000000000"
"187","5867","-1146.9626252166","0.0015643782","0.6608412298","1.4217476866","523.7035094468","365.2676122056","158.4358972413","254.3814923743","292.0402313817","-37.6587390074","-43.4900843169","5.8313453095","133.9051564414","168.5415035282","-10.4064285879","-144.2881412276","133.8817126397","4.8992724432","15.5318904318","113.4739935665","0.0000000000","0.0000000000"
"188","12317","-1146.9706847902","0.0015518207","0.6623930505","1.4265524976","523.7083142578","365.2634410495","158.4448732083","254.3773212182","293.1313033704","-38.7539821522","-44.6369559161","5.8829737639","132.7596216788","169.9674997969","-9.5958181053","-143.7855489548","134.1897308495","4.9540071564","15.4024286159","112.4031859066","0.0000000000","0.0000000000"
"189","5144","-1146.9723108135","0.0015492994","0.6639423499","1.4275218708","523.7092836310","365.1334504879","158.5758331431","254.2473306567","291.4613853729","-37.2140547162","-43.0644458678","5.8503911516","133.3239279782","168.3395864271","-10.2021290323","-143.9974577895","133.7953287571","4.9262223136","15.1929494054","113.2047562592","0.0000000000","0.0000000000"
"190","9963","-1146.9763809193","0.0015430064","0.6654853563","1.4299483129","523.7117100731","365.4953427318","158.2163673414","254.6092229005","295.6044004624","-40.9951775619","-46.9063458981","5.9111683363","132.9707571228","172.2340296299","-9.6003862903","-143.0916439221","133.4912576318","4.9883733929","14.7500351572","113.2323485727","0.0000000000","0.0000000000"
"191","8564","-1146.9801741544","0.0015371645","0.6670225209","1.4322096953","523.7139714555","365.1406967942","158.5732746613","254.2545769630","291.0989092470","-36.8443322840","-42.6748555343","5.8305232503","134.4208357173","167.2028155570","-10.5247420273","-144.6999327465","134.1751907192","4.9052916638","15.6586977865","113.8568462670","0.0000000000","0.0000000000"
"192","2952","-1146.9848753718","0.0015299550","0.6685524758","1.4350123821","523.7167741424","365.1372399825","158.5795341599","254.2511201512","291.4699983894","-37.2188782382","-43.0751866606","5.8563084224","133.2987239562","168.3492319631","-10.1779575298","-143.9232278881","133.7452703583","4.9276153065","15.1444506066","113.2266580430","0.0000000000","0.0000000000"
"193","9180","-1146.9880536933","0.0015251000","0.6700775758","1.4369071764","523.7186689367","364.6293272699","159.0893416668","253.7432074387","290.6360106580","-36.8928032193","-42.7489928261","5.8561896068","132.7799081575","167.6161370280","-9.7600345275","-144.3717110020","134.6116764745","4.9493035074","14.6876892614","113.1429153888","0.0000000000","0.0000000000"
"194","8259","-1146.9999085541","0.0015071269","0.6715847027","1.4439745932","523.7257363535","365.1094126484","158.6163237050","254.2232928172","290.8635802375","-36.6402874204","-42.4240623700","5.7837749496","134.3702049716","167.2940851916","-10.8007099257","-144.3701412172","133.5694312915","4.8926175751","15.5013474748","113.9762399217","0.0000000000","0.0000000000"
"195","4845","-1147.0027666878","0.0015028255","0.6730875282","1.4456785037","523.7274402639","364.8349875908","158.8924526731","253.9488677596","293.3466341543","-39.3977663947","-45.2800224861","5.8822560913","132.5488992138","170.4470280732","-9.6492931326","-144.5529551299","134.9036619973","5.0419717387","14.8872245005","112.6197029745","0.0000000000","0.0000000000"
"196","5111","-1147.0041078158","0.0015008113","0.6745883395","1.4464780332","523.7282397934","365.2916985349","158.4365412586","254.4055787036","290.7792829995","-36.3737042959","-42.2439460714","5.8702417755","134.3036604024","166.5937957474","-10.1181731503","-142.8251962084","132.7070230581","4.8381694965","14.5352611079","114.9302297979","0.0000000000","0.0000000000"
"197","5461","-1147.0080369411","0.0014949260","0.6760832655","1.4488204281","523.7305821884","364.9004119619","158.8301702264","254.0142921307","294.3488323975","-40.3345402669","-46.2312341480","5.8966938811","132.7764256619","170.8409030170","-9.2684962813","-144.0979014824","134.8294052010","5.0834191503","14.9271964320","112.7658100796","0.0000000000","0.0000000000"
"198","7635","-1147.0272759326","0.0014664401","0.6775497056","1.4602899825","523.7420517427","365.7077934789","158.0342582639","254.8216736476","295.2231641086","-40.4014904609","-46.3330254388","5.9315349778","133.2635159832","171.6826081839","-9.7229600586","-143.1340260991","133.4110660406","4.9774179707","15.4600888641","112.8260091484","0.0000000000","0.0000000000"
"199","12630","-1147.0310122206","0.0014609712","0.6790106768","1.4625174152","523.7442791754","365.2631668981","158.4811122773","254.3770470669","294.3417890386","-39.9647419717","-45.8447645376","5.8800225659","132.9929114610","170.9765162286","-9.6276386510","-144.5132130798","134.8855744289","5.0370565637","15.3708989097","112.5849559876","0.0000000000","0.0000000000"
"200","8517","-1147.0320415555","0.0014594682","0.6804701450","1.4631310654","523.7448928257","365.5222322645","158.2226605612","254.6361124332","292.5280800752","-37.8919676420","-43.6756844524","5.7837168104","133.3270198927","170.5993528656","-11.3982926831","-146.6907144219","135.2924217388","5.0032063003","16.8153781588","111.5084354337","0.0000000000","0.0000000000"
"201","2063","-1147.0325162324","0.0014587756","0.6819289205","1.4634140497","523.7451758100","365.4399394592","158.3052363508","254.5538196280","294.1033098377","-39.5494902098","-45.4894960277","5.9400058179","133.0186628955","170.5616151033","-9.4769681610","-143.1741987686","133.6972306075","4.9697278787","14.7652002270","113.2837347897","0.0000000000","0.0000000000"
"202","5746","-1147.0380250456","0.0014507615","0.6833796821","1.4666981945","523.7484599547","366.0747143361","157.6737456186","255.1885945049","288.4813585079","-33.2927640030","-39.3444866582","6.0517226552","139.7080895503","156.1172512541","-7.3439822965","-138.0581373464","130.7141550499","4.6422659261","12.1043178817","122.9615057424","0.0000000000","0.0000000000"
"203","4254","-1147.0391745602","0.0014490948","0.6848287769","1.4673834914","523.7491452516","365.0236030632","158.7255421884","254.1374832319","293.4957561239","-39.3582728920","-45.2464276515","5.8881547595","132.4191520479","170.6316720964","-9.5550680204","-144.1909414782","134.6358734578","5.0380482285","15.1296232397","112.2514805797","0.0000000000","0.0000000000"
"204","3502","-1147.0396669753","0.0014483814","0.6862771584","1.4676770505","523.7494388107","364.9157454115","158.8336933992","254.0296255803","292.3771068605","-38.3474812802","-44.2325357589","5.8850544786","132.4139481743","169.2853628922","-9.3222042059","-144.1685339336","134.8463297276","5.0228910517","14.8452136754","112.5458434472","0.0000000000","0.0000000000"
"205","3793","-1147.0423799482","0.0014444574","0.6877216157","1.4692944216","523.7510561819","365.2732382236","158.4778179583","254.3871183923","293.1741231092","-38.7870047168","-44.6574373581","5.8704326413","133.2553613923","169.8389329761","-9.9201712592","-144.3347993198","134.4146280606","4.9797087461","15.0441057899","113.2315468563","0.0000000000","0.0000000000"
"206","10190","-1147.0461523140","0.0014390186","0.6891606343","1.4715433625","523.7533051228","365.3505091335","158.4027959893","254.4643893023","292.9798294674","-38.5154401651","-44.3198736469","5.8044334817","133.8813024528","169.5254672056","-10.4269401910","-144.1816831750","133.7547429840","4.8948979312","15.5281044003","113.4583001213","0.0000000000","0.0000000000"
"207","9752","-1147.0667877190","0.0014096281","0.6905702624","1.4838454055","523.7656071658","365.1432472809","158.6223598849","254.2571274496","293.6025975964","-39.3454701468","-45.2614871714","5.9160170246","132.2202937249","170.6230071270","-9.2407032555","-143.1628333231","133.9221300676","5.0114762234","14.9835357860","112.2252817155","0.0000000000","0.0000000000"
"208","7228","-1147.0669842832","0.0014093511","0.6919796135","1.4839625896","523.7657243499","365.1982075500","158.5675167998","254.3120877188","292.7691187464","-38.4570310276","-44.3262370450","5.8692060174","133.0899457683","169.3772379297","-9.6980649515","-144.2742074290","134.5761424774","4.9699300870","15.3386832858","112.7813323955","0.0000000000","0.0000000000"
"209","9409","-1147.0740110858","0.0013994826","0.6933790961","1.4881517018","523.7699134621","365.1384599754","158.6314534867","254.2523401441","290.7254019805","-36.4730618364","-42.2852232653","5.8121614289","133.2212271096","167.7288636954","-10.2246888245","-144.0125708693","133.7878820448","4.9171142925","15.1981938704","113.1059189468","0.0000000000","0.0000000000"
"210","9057","-1147.0779296946","0.0013940093","0.6947731054","1.4904878272","523.7722495875","365.2067745358","158.5654750517","254.3206547046","296.0540772356","-41.7334225310","-47.6520046498","5.9185821188","132.9608986765","172.5904843101","-9.4973057511","-143.6977460089","134.2004402578","5.0840229455","15.1006934108","112.7761823202","0.0000000000","0.0000000000"
"211","7178","-1147.0794952411","0.0013918286","0.6961649340","1.4914211465","523.7731829067","365.0474786066","158.7257043001","254.1613587753","293.4869848640","-39.3256260887","-45.2123760012","5.8867499125","132.3865026041","170.6582374511","-9.5577551912","-144.1735816779","134.6158264867","5.0386493276","15.1054371758","112.2424161007","0.0000000000","0.0000000000"
"212","11068","-1147.0890114429","0.0013786465","0.6975435805","1.4970943437","523.7788561040","365.3021935353","158.4766625687","254.4160737041","295.4591285906","-41.0430548865","-46.9350647910","5.8920099045","132.9770262720","172.0987105348","-9.6166082162","-144.4506676081","134.8340593919","5.0351804459","15.3634085965","112.5784372296","0.0000000000","0.0000000000"
"213","8093","-1147.0960375108","0.0013689940","0.6989125745","1.5012830179","523.7830447782","364.9965246808","158.7865200974","254.1104048496","294.8897285137","-40.7793236641","-46.6174840306","5.8381603665","132.5869503678","172.0227546975","-9.7199765515","-144.5898247336","134.8698481821","5.0021630517","15.1984290165","112.3863582996","0.0000000000","0.0000000000"
"214","9710","-1147.0991002271","0.0013648076","0.7002773820","1.5031088929","523.7848706531","365.9299902455","157.8548804076","255.0438704142","297.5765806318","-42.5327102175","-48.3632884222","5.8305782047","133.9721513525","174.0709643200","-10.4665350407","-143.2871219661","132.8205869254","4.9668038426","15.5678221825","113.4375253274","0.0000000000","0.0000000000"
"215","10165","-1147.1031155540","0.0013593384","0.7016367204","1.5055026779","523.7872644381","365.1652908577","158.6219735804","254.2791710265","290.8688604060","-36.5896893795","-42.3624363299","5.7727469504","134.3848780778","167.2821927594","-10.7982104311","-144.3793896849","133.5811792538","4.8935985056","15.5030572658","113.9882223063","0.0000000000","0.0000000000"
"216","12843","-1147.1232820175","0.0013321999","0.7029689203","1.5175251558","523.7992869160","365.1909469565","158.6083399596","254.3048271252","293.5439104076","-39.2390832824","-45.0899353390","5.8508520566","132.9741620573","170.5651438662","-9.9953955158","-144.1474477064","134.1520521905","5.0085120010","15.2802412246","112.6854088317","0.0000000000","0.0000000000"
"217","11037","-1147.1245565692","0.0013305030","0.7042994234","1.5182849950","523.8000467552","365.1552083654","158.6448383899","254.2690885341","293.4028786419","-39.1337901078","-45.0049203077","5.8711301999","133.1518694480","170.0660832832","-9.8150740893","-144.2087945777","134.3937204884","4.9464944299","15.4624025753","112.7429724427","0.0000000000","0.0000000000"
"218","4628","-1147.1249491668","0.0013299808","0.7056294042","1.5185190468","523.8002808070","365.1175436321","158.6827371749","254.2314238008","295.1376574837","-40.9062336829","-46.7916992032","5.8854655203","133.3346315261","171.5512083445","-9.7481823869","-143.8625190083","134.1143366214","5.0206642227","15.2710635914","113.0429037120","0.0000000000","0.0000000000"
"219","4632","-1147.1256504493","0.0013290484","0.7069584526","1.5189371247","523.8006988849","365.1761593135","158.6245395715","254.2900394822","290.7652357498","-36.4751962676","-42.2932079211","5.8180116535","133.1859401810","167.8035657008","-10.2242701320","-143.9719603475","133.7476902154","4.9163790639","15.1753567656","113.0942043516","0.0000000000","0.0000000000"
"220","4766","-1147.1349920166","0.0013166908","0.7082751434","1.5245062115","523.8062679718","365.3257051827","158.4805627890","254.4395853515","291.1915000467","-36.7515824695","-42.5155996014","5.7640171319","133.8263272963","168.0042556005","-10.6390828501","-143.9688596650","133.3297768150","4.8921183582","15.3295982786","113.6046106594","0.0000000000","0.0000000000"
"221","12862","-1147.1350180128","0.0013166566","0.7095918000","1.5245217095","523.8062834697","365.3629738401","158.4433096296","254.4768540088","292.2321765784","-37.7553225695","-43.6090269519","5.8537043824","132.8942731980","169.1473207831","-9.8094174028","-143.0770643077","133.2676469049","4.9551646716","15.0373307879","112.9017777385","0.0000000000","0.0000000000"
"222","8734","-1147.1377526769","0.0013130609","0.7109048610","1.5261520121","523.8079137724","365.2603197561","158.5475940162","254.3741999249","290.4775933249","-36.1033934000","-41.9205527326","5.8171593326","134.4680341448","166.4853736109","-10.4758144309","-144.5498332016","134.0740187708","4.9019496274","15.6242496198","113.9418348976","0.0000000000","0.0000000000"
"223","9007","-1147.1416051666","0.0013080121","0.7122128730","1.5284487198","523.8102104801","365.0514646076","158.7587458725","254.1653447763","288.7374462708","-34.5721014944","-40.3307964355","5.7586949410","134.4894069666","165.1373112787","-10.8892719745","-144.4271018171","133.5378298425","4.8440686357","15.0534837709","114.5918545600","0.0000000000","0.0000000000"
"224","2180","-1147.1529473823","0.0012932602","0.7135061332","1.5352105171","523.8169722773","364.5903201229","159.2266521545","253.7042002916","292.8249686452","-39.1207683535","-44.8707668170","5.7499984635","134.9495542607","169.7282591307","-11.8528447462","-149.6818206159","137.8289758697","5.0194501885","17.6869843839","112.2431196882","0.0000000000","0.0000000000"
"225","11377","-1147.1610850896","0.0012827787","0.7147889119","1.5400619084","523.8218236687","365.6986036024","158.1232200662","254.8124837712","292.9442768421","-38.1317930710","-43.9261218885","5.7943288175","132.9222866478","171.2097595436","-11.1877693492","-146.0737021096","134.8859327604","4.9878223238","16.7783907548","111.1560735692","0.0000000000","0.0000000000"
"226","5935","-1147.1648196673","0.0012779970","0.7160669089","1.5422883215","523.8240500817","365.4310317346","158.3930183471","254.5449119034","297.8116068131","-43.2666949097","-49.1383408905","5.8716459808","132.6917262675","174.7920399685","-9.6721594229","-143.8261153067","134.1539558838","5.0789964237","15.2394166836","112.3733131602","0.0000000000","0.0000000000"
"227","11949","-1147.1659878629","0.0012765049","0.7173434138","1.5429847552","523.8247465155","365.0134112019","158.8113353136","254.1272913706","294.0658919908","-39.9386006202","-45.7467668143","5.8081661941","133.6841136267","170.6291466351","-10.2473682710","-144.8557010065","134.6083327355","4.9741416244","15.4779972535","113.2319747487","0.0000000000","0.0000000000"
"228","13094","-1147.1718638990","0.0012690261","0.7186124399","1.5464878242","523.8282495845","364.5745779505","159.2536716340","253.6884581192","284.2887760255","-30.6003179063","-36.9076042736","6.3072863673","142.3770696012","146.4468945315","-4.5351881072","-139.4787844391","134.9435963319","4.6787648306","10.5447456875","127.1535590831","0.0000000000","0.0000000000"
"229","12620","-1147.1780550006","0.0012611937","0.7198736336","1.5501787233","523.8319404836","365.6054495933","158.2264908903","254.7193297620","296.0321532745","-41.3128235124","-47.2155544327","5.9027309202","132.7439225710","173.0069346655","-9.7187039621","-143.3422409038","133.6235369417","4.9515269351","15.1428022330","112.6495934029","0.0000000000","0.0000000000"
"230","6039","-1147.1810822063","0.0012573816","0.7211310152","1.5519834282","523.8337451884","365.2119258350","158.6218193535","254.3258060037","290.6983967171","-36.3725907134","-42.1752089336","5.8026182203","134.3804547715","167.0678319884","-10.7498900428","-144.2736679386","133.5237778957","4.8973528919","15.4416799330","114.0414219465","0.0000000000","0.0000000000"
"231","4638","-1147.1811698330","0.0012572714","0.7223882866","1.5520356679","523.8337974281","365.2276279763","158.6061694518","254.3415081451","293.4827103241","-39.1412021790","-44.9777956328","5.8365934537","132.9526046561","170.5343249892","-10.0042193213","-144.1601266488","134.1559073276","5.0088112655","15.2762993506","112.6674940400","0.0000000000","0.0000000000"
"232","2391","-1147.2032034191","0.0012298722","0.7236181588","1.5651712532","523.8469330135","365.1063271813","158.7406058322","254.2202073501","293.2125612920","-38.9923539420","-44.8668675506","5.8745136086","132.4205696823","170.3540841057","-9.5620924959","-144.2502196799","134.6881271839","5.0389917233","15.1542654546","112.2273125044","0.0000000000","0.0000000000"
"233","6524","-1147.2032218171","0.0012298496","0.7248480083","1.5651822214","523.8469439816","363.9119799638","159.9349640178","253.0258601326","288.9504265712","-35.9245664387","-41.7914624023","5.8668959636","133.9693151586","164.3229727370","-9.3418613243","-145.1027006834","135.7608393591","5.0734217995","14.7072247058","114.1886686533","0.0000000000","0.0000000000"
"234","10198","-1147.2120192763","0.0012190775","0.7260670858","1.5704269317","523.8521886919","365.5271262792","158.3250624127","254.6410064480","295.2060481936","-40.5650417456","-46.4778071183","5.9127653727","133.8223843387","171.0347176485","-9.6510537935","-142.2130023777","132.5619485841","4.9037842114","14.9285588717","113.9900412556","0.0000000000","0.0000000000"
"235","8566","-1147.2140505144","0.0012166037","0.7272836895","1.5716378785","523.8533996387","366.0456166661","157.8077829726","255.1594968348","292.5389505321","-37.3794536972","-43.4660322151","6.0865785178","138.8877440923","160.5496057153","-6.8983992756","-138.7339448222","131.8355455466","4.7051118413","12.6147847738","121.5678474772","0.0000000000","0.0000000000"
"236","5571","-1147.2234960759","0.0012051663","0.7284888558","1.5772689627","523.8590307230","365.1193112298","158.7397194932","254.2331913985","293.2774252690","-39.0442338704","-44.9467209309","5.9024870604","132.3983272607","170.4176836527","-9.5385856444","-144.1709709963","134.6323853518","5.0395271077","15.1122924358","112.2465077172","0.0000000000","0.0000000000"
"237","6372","-1147.2235021974","0.0012051589","0.7296940148","1.5772726121","523.8590343724","365.2030422362","158.6559921362","254.3169224049","294.8588625519","-40.5419401470","-46.3444232912","5.8024831443","133.1686003436","171.8806271986","-10.1903649903","-144.5841840541","134.3938190638","4.9711370745","15.4059771537","112.7914861154","0.0000000000","0.0000000000"
"238","7352","-1147.2363935617","0.0011897225","0.7308837373","1.5849579528","523.8667197131","365.3234952956","158.5432244174","254.4373754644","294.1388599145","-39.7014844501","-45.6172232531","5.9157388030","132.1526141612","171.1091784355","-9.1229326822","-143.1692833312","134.0463506490","5.0336505888","14.8635820736","112.2553814988","0.0000000000","0.0000000000"
"239","5869","-1147.2414420803","0.0011837313","0.7320674686","1.5879676874","523.8697294477","365.3178672799","158.5518621678","254.4317474487","297.3422432374","-42.9104957887","-48.8621641415","5.9516683528","131.7763753644","174.4964423188","-8.9305744458","-143.4692512247","134.5386767789","5.1643063369","15.1100452765","111.5020237510","0.0000000000","0.0000000000"
"240","10294","-1147.2431998598","0.0011816524","0.7332491210","1.5890156087","523.8707773689","365.2856368331","158.5851405358","254.3995170019","295.4892763054","-41.0897593035","-46.8869737995","5.7972144960","133.0916366749","172.4720747749","-10.0744351444","-144.5928742361","134.5184390917","4.9949449946","15.3006182787","112.7960734016","0.0000000000","0.0000000000"
"241","4728","-1147.2491990817","0.0011745846","0.7344237057","1.5925921164","523.8743538767","365.2863243836","158.5880294931","254.4002045523","292.6291514606","-38.2289469083","-44.0557897075","5.8268427992","132.9692226387","169.7486755644","-10.0887467424","-143.8929486136","133.8042018712","4.9362385625","15.0316818630","113.0013022131","0.0000000000","0.0000000000"
"242","2684","-1147.2517933299","0.0011715414","0.7355952471","1.5941387084","523.8759004687","363.9310622264","159.9448382422","253.0449423952","289.1910465285","-36.1461041333","-42.0047451880","5.8586410546","133.9463507654","164.5599237384","-9.3152279753","-145.0652481973","135.7500202221","5.0773450186","14.6727153354","114.1962904113","0.0000000000","0.0000000000"
"243","5962","-1147.2517973517","0.0011715367","0.7367667838","1.5941411061","523.8759028663","365.3425573825","158.5333454838","254.4564375513","291.8095279679","-37.3530904166","-43.1781922345","5.8251018178","133.0674043556","169.1333329673","-10.3912093550","-144.1887116985","133.7975023435","4.9454795700","15.0136692773","113.1082555083","0.0000000000","0.0000000000"
"244","9001","-1147.2520303337","0.0011712638","0.7379380476","1.5942800011","523.8760417613","365.7718030107","158.1042387506","254.8856831795","294.7255449737","-39.8398617942","-45.6687248455","5.8288630513","133.7313768540","171.3847769604","-10.3906088408","-143.7184621235","133.3278532826","4.9200747584","15.0754250292","113.7358770664","0.0000000000","0.0000000000"
"245","6778","-1147.2536732128","0.0011693411","0.7391073887","1.5952594230","523.8770211833","365.0104446991","158.8665764842","254.1243248679","291.7556275772","-37.6313027094","-43.4761101447","5.8448074353","133.6020064001","168.2964821510","-10.1428609739","-144.2367547424","134.0938937685","4.9448870315","15.3671533517","113.2899660169","0.0000000000","0.0000000000"
"246","2907","-1147.2583962528","0.0011638313","0.7402712200","1.5980751197","523.8798368799","365.0561496652","158.8236872147","254.1700298340","292.3895733831","-38.2195435491","-44.1097727446","5.8902291954","132.5152955686","169.5139624348","-9.6396846204","-144.0203833752","134.3806987548","4.9728291044","15.1221325478","112.4203339165","0.0000000000","0.0000000000"
"247","2142","-1147.2596844919","0.0011623330","0.7414335530","1.5988431188","523.8806048790","365.1073570990","158.7732477800","254.2212372678","285.1338338945","-30.9125966268","-37.2260849621","6.3134883353","142.7518085665","147.2456631884","-4.8636378604","-138.2986583859","133.4350205255","4.6121232130","10.3893467156","127.7503386379","0.0000000000","0.0000000000"
"248","12802","-1147.2659457772","0.0011550780","0.7425886310","1.6025758588","523.8843376190","365.3690782943","158.5152593247","254.4829584631","291.5303718742","-37.0474134111","-42.9124493580","5.8650359469","133.3157971959","168.2830575521","-10.0684828738","-144.2230588915","134.1545760177","4.9061548584","15.0210886273","113.3885537102","0.0000000000","0.0000000000"
"249","2188","-1147.2672938525","0.0011535219","0.7437421529","1.6033795300","523.8851412902","365.0664799312","158.8186613591","254.1803600999","292.7547159517","-38.5743558518","-44.4553924060","5.8810365542","132.4931194669","169.9023213603","-9.6407248755","-143.9877947721","134.3470698966","4.9733849288","15.0982493202","112.4214852180","0.0000000000","0.0000000000"
"250","10652","-1147.2739937691","0.0011458193","0.7448879722","1.6073737652","523.8891355254","364.9181792250","158.9709563004","254.0320593938","292.8205411849","-38.7884817911","-44.6331088080","5.8446270169","133.1347957653","169.4240980163","-9.7383525967","-145.1025703316","135.3642177349","5.0401980555","15.1187926834","112.9758050263","0.0000000000","0.0000000000"
"251","4601","-1147.2767010556","0.0011427214","0.7460306936","1.6089877464","523.8907495066","365.1707862747","158.7199632319","254.2846664435","294.3776474484","-40.0929810050","-45.9832959233","5.8903149183","132.1186855189","171.7133753414","-9.4544134119","-144.1250511344","134.6706377225","5.0509752163","15.0043779030","112.0633323996","0.0000000000","0.0000000000"
"252","3693","-1147.2830983559","0.0011354344","0.7471661280","1.6128015733","523.8945633335","365.2792120240","158.6153513096","254.3930921927","295.3710252535","-40.9779330608","-46.8506374783","5.8727044174","133.1096012609","172.3057151581","-10.0442911654","-144.6329255844","134.5886344190","4.9825919534","15.4650256509","112.6619836566","0.0000000000","0.0000000000"
"253","4668","-1147.2891226138","0.0011286148","0.7482947428","1.6163930065","523.8981547668","365.3804276006","158.5177271662","254.4943077693","291.1875055804","-36.6931978111","-42.5640550470","5.8708572359","133.3008115764","167.7472083098","-9.8605143058","-144.1357229073","134.2752086015","4.9398235099","14.9116378453","113.4493502212","0.0000000000","0.0000000000"
"254","9718","-1147.2955710768","0.0011213604","0.7494161032","1.6202373347","523.9019990950","365.2025697925","158.6994293025","254.3164499612","295.8044155516","-41.4879655904","-47.3597488356","5.8717832452","131.9967417043","173.3302195216","-9.5225456744","-144.1752524619","134.6527067875","5.0018885968","15.2146695120","111.7801835956","0.0000000000","0.0000000000"
"255","13166","-1147.2959251356","0.0011209634","0.7505370666","1.6204484110","523.9022101713","365.1197639532","158.7824462181","254.2336441219","294.4250695968","-40.1914254749","-46.0543268778","5.8629014029","132.5554434726","171.5962579335","-9.7266318094","-144.5968288042","134.8701969948","5.0028872161","15.2160503468","112.3365059098","0.0000000000","0.0000000000"
"256","7494","-1147.2998627981","0.0011165581","0.7516536248","1.6227958956","523.9045576558","365.3094073381","158.5951503177","254.4232875069","295.5097845901","-41.0862252978","-46.9289154796","5.8426901818","133.0490944388","172.4822710619","-10.0215809106","-144.5610503383","134.5394694276","4.9941777881","15.2128562612","112.8420603896","0.0000000000","0.0000000000"
"257","6009","-1147.3004957203","0.0011158517","0.7527694765","1.6231732197","523.9049349800","365.1776681786","158.7272668013","254.2915483474","295.0735913274","-40.7820429801","-46.6671298679","5.8850868878","132.1216112055","172.3914613063","-9.4394811843","-144.0905843642","134.6511031799","5.0529937206","14.9939747967","112.0746426882","0.0000000000","0.0000000000"
"258","9075","-1147.3061249942","0.0011095879","0.7538790643","1.6265291785","523.9082909388","365.1921123023","158.7161786365","254.3059924711","293.2872833772","-38.9812909061","-44.8677209563","5.8864300502","133.2513365461","169.9310669638","-9.8951201326","-144.5455116254","134.6503914928","5.0354207279","15.2036541441","113.0122616740","0.0000000000","0.0000000000"
"259","3418","-1147.3082262693","0.0011072588","0.7549863231","1.6277818788","523.9095436390","365.2592337503","158.6503098887","254.3731139190","294.9289996224","-40.5558857034","-46.3668468509","5.8109611476","133.1718057086","171.9465232566","-10.1893293429","-144.5772847322","134.3879553894","4.9709642299","15.4088544255","112.7919870532","0.0000000000","0.0000000000"
"260","10281","-1147.3158005827","0.0010989037","0.7560852269","1.6322973961","523.9140591563","365.7694682670","158.1445908893","254.8833484357","293.8834404680","-39.0000920323","-44.8286748898","5.8285828575","134.6654677834","169.7680283113","-10.5500556267","-143.3513063739","132.8012507471","4.9070658339","15.6046681511","114.1537337984","0.0000000000","0.0000000000"
"261","13225","-1147.3171544007","0.0010974170","0.7571826439","1.6331044908","523.9148662511","364.9972417346","158.9176245165","254.1111219033","293.1272614997","-39.0161395964","-44.8802797931","5.8641401967","133.0152221058","169.9102897313","-9.7982503374","-145.0843523429","135.2861020055","4.9839485723","15.2955243853","112.7357491481","0.0000000000","0.0000000000"
